CarrierCode,AgentCode,StatementDate,PolicyNumber,TransactionType,WrittenPremium,CommissionPercent,CommissionAmount,DueDate,ReversalIndicator
GEIC,120275,2025-04-30,BSX1108673,New,827.36,0.0867,71.73,2025-05-15,False
NATI,120066,2025-04-30,JGY2074323,New,550.78,0.1018,56.07,2025-05-15,False
ALLS,120050,2025-04-30,MGF1557649,New,814.98,0.0972,79.22,2025-05-15,False
GEIC,120179,2025-04-30,BGS9210213,New,1978.37,0.0811,160.45,2025-05-15,False
LIBM,120075,2025-04-30,BAW5597011,Renewal,3626.85,0.1964,712.31,2025-05-15,False
PRGS,120251,2025-04-30,FHK1788367,Renewal,249.44,0.1086,27.09,2025-05-15,False
CHUB,120173,2025-04-30,CFZ5702895,New,2207.67,0.0874,192.95,2025-05-15,False
PRGS,120076,2025-04-30,VXJ8897017,Renewal,1159.7,0.1276,147.98,2025-05-15,False
TRAV,120247,2025-04-30,RCD0713647,New,1129.71,0.0638,72.08,2025-05-15,False
ALLS,120056,2025-04-30,TGR0436842,Renewal,17313.54,0.1038,1797.15,2025-05-15,False
PRGS,120299,2025-04-30,RCL7396460,New,486.74,0.0782,38.06,2025-05-15,False
TRAV,120041,2025-04-30,NDB1981171,Renewal,1666.55,0.1447,241.15,2025-05-15,False
FARM,120124,2025-04-30,BBT8636064,New,918.81,0.0955,87.75,2025-05-15,False
AMFA,120188,2025-04-30,ZER5933591,Renewal,2516.76,0.1379,347.06,2025-05-15,False
AMFA,120235,2025-04-30,UGP9507783,New,1718.64,0.1279,219.81,2025-05-15,False
ALLS,120012,2025-04-30,JWL5858730,New,1313.24,0.0938,123.18,2025-05-15,False
ALLS,120280,2025-04-30,BXG5239253,Renewal,3040.25,0.1263,383.98,2025-05-15,False
PRGS,120236,2025-04-30,MBK7572583,Renewal,3220.43,0.1404,452.15,2025-05-15,False
CHUB,120064,2025-04-30,AYK9615935,New,1378.83,0.0924,127.4,2025-05-15,False
PRGS,120226,2025-04-30,BAA6321428,New,951.86,0.0692,65.87,2025-05-15,False
TRAV,120268,2025-04-30,ZUE6443107,Renewal,925.31,0.0897,83.0,2025-05-15,False
PRGS,120148,2025-04-30,DYN8263981,Renewal,565.89,0.1521,86.07,2025-05-15,False
GEIC,120180,2025-04-30,CEH4014926,Renewal,500.0,0.1629,81.45,2025-05-15,False
ALLS,120146,2025-04-30,JDW2488773,New,1807.77,0.0913,165.05,2025-05-15,False
ALLS,120014,2025-04-30,UEM8536988,New,2306.61,0.1235,284.87,2025-05-15,False
ALLS,120108,2025-04-30,LTM1662455,Renewal,1179.65,0.1101,129.88,2025-05-15,False
HART,120275,2025-04-30,WTZ7784974,Renewal,3034.07,0.1251,379.56,2025-05-15,False
PRGS,120122,2025-04-30,PXJ3442140,Renewal,1993.0,0.1949,388.44,2025-05-15,False
HART,120069,2025-04-30,MGW2932803,New,1342.41,0.0941,126.32,2025-05-15,False
PRGS,120116,2025-04-30,KLR4468689,New,2943.19,0.1144,336.7,2025-05-15,False
TRAV,120135,2025-04-30,CMZ7324321,Renewal,3825.72,0.1324,506.53,2025-05-15,False
FARM,120193,2025-04-30,ACU3074084,Renewal,2499.63,0.1368,341.95,2025-05-15,False
CHUB,120239,2025-04-30,BZX3856666,Renewal,3651.79,0.0964,352.03,2025-05-15,False
HART,120168,2025-04-30,SCV4205098,Renewal,2214.01,0.066,146.12,2025-05-15,False
TRAV,120298,2025-04-30,CEV5444718,Renewal,1500.0,0.14,210.0,2025-05-15,False
AMFA,120177,2025-04-30,CEY9920978,New,883.26,0.0717,63.33,2025-05-15,False
PRGS,120144,2025-04-30,EKT2014519,Rewrite,5362.63,0.0953,511.06,2025-05-15,False
GEIC,120229,2025-04-30,XDS2712432,New,1005.38,0.1222,122.86,2025-05-15,False
LIBM,120257,2025-12-31,HYB2030956,Endorsement,-0.3,0.1009,-0.03,2026-01-15,True
PRGS,120010,2025-04-30,ZDB5576399,New,2471.29,0.0911,225.13,2025-05-15,False
GEIC,120242,2025-04-30,RBS1676786,Renewal,834.67,0.1236,103.17,2025-05-15,False
PRGS,120249,2025-04-30,KUW8079040,Renewal,4911.02,0.104,510.75,2025-05-15,False
ALLS,120031,2025-04-30,PZY4687674,New,1553.78,0.1065,165.48,2025-05-15,False
TRAV,120006,2025-04-30,WFT8788758,New,1645.66,0.1064,175.1,2025-05-15,False
LIBM,120129,2025-04-30,PSC1742113,New,1204.45,0.1147,138.15,2025-05-15,False
NATI,120298,2025-04-30,DRA5099442,Renewal,1685.7,0.1572,264.99,2025-05-15,False
HART,120141,2025-04-30,FJA5783485,Renewal,2113.09,0.1346,284.42,2025-05-15,False
AMFA,120190,2025-04-30,ZJW0774408,Renewal,2380.49,0.0855,203.53,2025-05-15,False
GEIC,120113,2025-04-30,JTR1192826,Renewal,2597.9,0.1007,261.61,2025-05-15,False
AMFA,120179,2025-04-30,XRR7386351,Renewal,4699.28,0.1255,589.76,2025-05-15,False
TRAV,120143,2025-04-30,ZHE2133147,Renewal,551.44,0.0772,42.57,2025-05-15,False
FARM,120163,2025-04-30,HLP8226097,Renewal,1500.0,0.1448,217.2,2025-05-15,False
PRGS,120060,2025-04-30,EEF4508979,Renewal,2397.87,0.085,203.82,2025-05-15,False
GEIC,120083,2025-04-30,JMG8427060,Renewal,896.9,0.1165,104.49,2025-05-15,False
GEIC,120209,2025-08-31,ZZS6051524,Endorsement,-6.75,0.0838,-0.57,2025-09-15,True
LIBM,120043,2025-04-30,YPN6589763,Renewal,785.02,0.0849,66.65,2025-05-15,False
GEIC,120204,2025-04-30,WLB6618054,Renewal,972.95,0.1493,145.26,2025-05-15,False
TRAV,120077,2025-04-30,YVX7192549,Renewal,1500.0,0.2,300.0,2025-05-15,False
GEIC,120202,2025-04-30,VUW2080023,Renewal,1321.83,0.1233,162.98,2025-05-15,False
AMFA,120006,2025-04-30,CZK4427231,Renewal,1049.06,0.1686,176.87,2025-05-15,False
PRGS,120006,2025-11-30,WVA4443679,Endorsement,2.97,0.1607,0.48,2025-12-15,False
LIBM,120222,2025-04-30,WBY4515503,New,2563.77,0.1132,290.22,2025-05-15,False
HART,120167,2025-04-30,FVP1665965,New,1289.22,0.0912,117.58,2025-05-15,False
CHUB,120140,2025-04-30,CNP3246591,Renewal,4077.93,0.129,526.05,2025-05-15,False
PRGS,120160,2025-04-30,YVW4164414,Renewal,15000.0,0.1403,2104.5,2025-05-15,False
HART,120278,2025-04-30,SKT4859391,Renewal,1128.68,0.1115,125.85,2025-05-15,False
TRAV,120171,2025-04-30,APY1849698,Renewal,2286.59,0.1316,300.92,2025-05-15,False
TRAV,120133,2025-04-30,GYB3599950,New,1557.85,0.0958,149.24,2025-05-15,False
ALLS,120120,2025-04-30,APZ1376113,New,1858.29,0.0876,162.79,2025-05-15,False
ALLS,120085,2025-04-30,BSU9928959,New,950.97,0.1163,110.6,2025-05-15,False
TRAV,120193,2025-11-30,UVA5493619,Endorsement,18.16,0.1228,2.23,2025-12-15,False
NATI,120013,2025-04-30,PGL1653917,Renewal,5361.89,0.0997,534.58,2025-05-15,False
HART,120291,2025-04-30,KPJ0152286,New,1729.85,0.0929,160.7,2025-05-15,False
ALLS,120006,2025-04-30,HFP8017440,New,831.93,0.127,105.66,2025-05-15,False
TRAV,120029,2025-07-31,EFA3413057,Endorsement,-97.55,0.1242,-12.12,2025-08-15,True
TRAV,120254,2025-04-30,TUT9197629,Renewal,4419.36,0.1565,691.63,2025-05-15,False
PRGS,120264,2025-04-30,TLE1557194,Renewal,5389.22,0.1472,793.29,2025-05-15,False
GEIC,120178,2025-04-30,RHZ0197466,New,1093.7,0.0915,100.07,2025-05-15,False
CHUB,120216,2025-04-30,KSK3385557,New,1277.84,0.1037,132.51,2025-05-15,False
NATI,120233,2025-04-30,HWV2814620,New,3488.48,0.1107,386.17,2025-05-15,False
AMFA,120060,2025-04-30,DBU9008544,Renewal,1581.53,0.1249,197.53,2025-05-15,False
GEIC,120258,2025-04-30,RUL0013538,Renewal,2000.0,0.0519,103.8,2025-05-15,False
GEIC,120113,2025-04-30,YPP0110091,Renewal,1690.93,0.0985,166.56,2025-05-15,False
PRGS,120189,2025-04-30,LVF5272544,Renewal,1169.05,0.0951,111.18,2025-05-15,False
TRAV,120299,2025-04-30,ZEW2043706,New,1569.91,0.14,219.79,2025-05-15,False
GEIC,120203,2025-04-30,FKH0606183,Renewal,1630.85,0.1243,202.71,2025-05-15,False
NATI,120220,2025-04-30,EEZ1508933,New,1907.26,0.1185,226.01,2025-05-15,False
LIBM,120155,2025-04-30,TUV6271386,Renewal,1302.35,0.0995,129.58,2025-05-15,False
TRAV,120152,2025-04-30,WLG4205315,Rewrite,3000.0,0.1557,467.1,2025-05-15,False
HART,120188,2025-04-30,KZU5077914,Renewal,630.68,0.1105,69.69,2025-05-15,False
AMFA,120044,2025-04-30,LLW5933553,Renewal,867.11,0.102,88.45,2025-05-15,False
GEIC,120260,2025-04-30,AXD7605066,Renewal,6591.89,0.0988,651.28,2025-05-15,False
FARM,120297,2025-04-30,TFC6473401,New,2588.8,0.1199,310.4,2025-05-15,False
ALLS,120061,2025-04-30,EGA4075899,Renewal,2346.07,0.1418,332.67,2025-05-15,False
LIBM,120100,2025-04-30,KXF5566460,Renewal,1500.0,0.1649,247.35,2025-05-15,False
ALLS,120235,2025-04-30,ETJ1556243,Renewal,2001.5,0.153,306.23,2025-05-15,False
HART,120180,2025-04-30,CPW2861152,Renewal,2020.34,0.171,345.48,2025-05-15,False
PRGS,120020,2025-04-30,MAR1954894,Renewal,1585.48,0.138,218.8,2025-05-15,False
ALLS,120028,2025-04-30,AHF1278489,Renewal,750.81,0.1297,97.38,2025-05-15,False
FARM,120289,2025-04-30,CGH5795914,Renewal,8023.9,0.1422,1141.0,2025-05-15,False
FARM,120064,2025-04-30,TJY1168255,New,2479.04,0.0871,215.92,2025-05-15,False
GEIC,120092,2025-04-30,YUD3282936,Renewal,512.82,0.1166,59.79,2025-05-15,False
NATI,120069,2025-04-30,DDU5898584,New,2519.41,0.109,274.62,2025-05-15,False
PRGS,120098,2025-04-30,VXH0599831,Renewal,2071.71,0.1429,296.05,2025-05-15,False
NATI,120056,2025-04-30,TEC9837287,Renewal,1644.74,0.1349,221.88,2025-05-15,False
TRAV,120086,2025-11-30,JKH1033535,Cancel,-0.0,0.1318,-0.0,2025-12-15,False
NATI,120275,2025-04-30,JXB7077706,New,978.17,0.0863,84.42,2025-05-15,False
CHUB,120010,2025-04-30,JBW9673785,New,1122.94,0.1095,122.96,2025-05-15,False
PRGS,120002,2025-04-30,LAC2679723,New,1019.21,0.0736,75.01,2025-05-15,False
HART,120048,2025-04-30,HFH4841629,Renewal,2153.75,0.1678,361.4,2025-05-15,False
TRAV,120165,2025-04-30,UPW0721793,Renewal,2652.03,0.1114,295.44,2025-05-15,False
TRAV,120115,2025-09-30,AWH2887022,Endorsement,28.94,0.1255,3.63,2025-10-15,False
LIBM,120256,2025-04-30,MEB0390636,New,1679.67,0.1213,203.74,2025-05-15,False
ALLS,120086,2025-04-30,ZRR4365083,New,1102.72,0.0602,66.38,2025-05-15,False
CHUB,120037,2025-04-30,LXP8398030,Renewal,2062.6,0.121,249.57,2025-05-15,False
PRGS,120269,2025-09-30,AEE0257223,Cancel,-0.0,0.1251,-0.0,2025-10-15,False
HART,120149,2025-04-30,UXK5336264,Renewal,25000.0,0.095,2375.0,2025-05-15,False
LIBM,120069,2025-04-30,ANN0078624,Renewal,954.45,0.1407,134.29,2025-05-15,False
GEIC,120116,2025-04-30,GYF5965130,Renewal,1697.58,0.105,178.25,2025-05-15,False
PRGS,120090,2025-04-30,ZAN2023382,Renewal,2049.68,0.111,227.51,2025-05-15,False
LIBM,120282,2025-04-30,LTJ3734177,New,1777.11,0.076,135.06,2025-05-15,False
PRGS,120136,2025-09-30,RNY6135845,Endorsement,-21.34,0.1038,-2.22,2025-10-15,True
GEIC,120274,2025-04-30,KHT6983870,Renewal,1552.18,0.1108,171.98,2025-05-15,False
HART,120036,2025-07-31,HCY8199245,Cancel,-0.0,0.1217,-0.0,2025-08-15,False
ALLS,120104,2025-04-30,ADB0987612,Renewal,3356.11,0.1253,420.52,2025-05-15,False
FARM,120040,2025-04-30,VDX6971285,New,1399.62,0.0926,129.6,2025-05-15,False
HART,120274,2025-04-30,PLX7179207,Renewal,1231.32,0.0974,119.93,2025-05-15,False
PRGS,120075,2026-01-31,MFY8981577,Endorsement,22.31,0.1135,2.53,2026-02-15,False
ALLS,120009,2025-04-30,XDS8437908,Renewal,821.13,0.1308,107.4,2025-05-15,False
ALLS,120230,2025-04-30,GVL6481935,Renewal,901.99,0.1469,132.5,2025-05-15,False
NATI,120012,2025-04-30,LZT1730071,Renewal,597.83,0.1433,85.67,2025-05-15,False
CHUB,120053,2025-04-30,LBM0049688,Renewal,1900.1,0.1277,242.64,2025-05-15,False
AMFA,120053,2025-04-30,GNK8771410,Renewal,2606.85,0.08,208.55,2025-05-15,False
GEIC,120091,2025-04-30,ZER1496217,Renewal,2250.02,0.1123,252.68,2025-05-15,False
PRGS,120260,2025-04-30,WJT7237514,Renewal,1445.21,0.1188,171.69,2025-05-15,False
CHUB,120043,2025-04-30,MPX3054959,New,1036.8,0.0801,83.05,2025-05-15,False
NATI,120095,2025-04-30,UUF4872816,Renewal,1254.42,0.0998,125.19,2025-05-15,False
HART,120039,2025-04-30,VFW0855181,New,3147.31,0.1245,391.84,2025-05-15,False
FARM,120163,2025-04-30,ZMF5472785,Renewal,4117.81,0.1316,541.9,2025-05-15,False
PRGS,120010,2025-04-30,UCJ1238661,Renewal,2194.97,0.0913,200.4,2025-05-15,False
ALLS,120114,2025-04-30,BRA6878423,Renewal,9100.47,0.0747,679.81,2025-05-15,False
AMFA,120156,2025-04-30,HEF0583726,Renewal,4516.57,0.1211,546.96,2025-05-15,False
AMFA,120156,2026-05-31,HEF0583726,Audit,252.52,0.1211,30.58,2026-06-15,False
PRGS,120168,2025-04-30,ZKC3014590,New,342.31,0.1003,34.33,2025-05-15,False
GEIC,120218,2025-07-31,ANH7537542,Reinstate,0.0,0.1887,0.0,2025-08-15,False
CHUB,120159,2025-04-30,UDH1407309,Renewal,2700.92,0.1763,476.17,2025-05-15,False
PRGS,120249,2025-04-30,KCG9039068,Renewal,2042.36,0.1139,232.62,2025-05-15,False
ALLS,120085,2025-04-30,TKT0271761,Renewal,614.9,0.1204,74.03,2025-05-15,False
LIBM,120153,2025-12-31,PZB9472352,Reinstate,0.0,0.1203,0.0,2026-01-15,False
HART,120159,2025-06-30,VCK5934951,Endorsement,26.6,0.1339,3.56,2025-07-15,False
ALLS,120018,2025-12-31,LRT1677348,Cancel,-0.0,0.1581,-0.0,2026-01-15,False
HART,120113,2025-04-30,CNH2855684,New,622.32,0.1187,73.87,2025-05-15,False
ALLS,120041,2025-04-30,PXX6922021,Renewal,3055.71,0.1075,328.49,2025-05-15,False
PRGS,120114,2025-08-31,BWH2927523,Endorsement,-134.75,0.1229,-16.56,2025-09-15,True
HART,120260,2025-04-30,NKG6072300,Renewal,1360.59,0.0821,111.7,2025-05-15,False
LIBM,120030,2025-04-30,FMV6417519,Renewal,4040.59,0.1635,660.64,2025-05-15,False
GEIC,120073,2025-11-30,XFJ1107621,Endorsement,4.31,0.1096,0.47,2025-12-15,False
LIBM,120083,2025-04-30,WRJ2172387,New,2819.39,0.1179,332.41,2025-05-15,False
FARM,120033,2025-04-30,YWL0068295,New,2051.51,0.14,287.21,2025-05-15,False
NATI,120285,2025-04-30,FEF2750971,New,886.96,0.0828,73.44,2025-05-15,False
LIBM,120033,2025-04-30,GYP8478811,Renewal,818.91,0.1043,85.41,2025-05-15,False
NATI,120119,2025-04-30,JGA6070369,New,1504.39,0.06,90.26,2025-05-15,False
GEIC,120098,2025-04-30,KUE2595285,Renewal,8815.12,0.168,1480.94,2025-05-15,False
PRGS,120091,2025-04-30,WJB5670011,Renewal,2089.57,0.154,321.79,2025-05-15,False
HART,120253,2025-04-30,JJS6743852,Renewal,7694.64,0.1741,1339.64,2025-05-15,False
HART,120111,2025-04-30,EDS0969963,Renewal,482.93,0.1165,56.26,2025-05-15,False
AMFA,120179,2025-04-30,ASU9596578,New,1173.24,0.1008,118.26,2025-05-15,False
NATI,120156,2025-10-31,YMM9076082,Endorsement,0.76,0.1275,0.1,2025-11-15,False
ALLS,120171,2025-04-30,DYC9234114,Renewal,2135.15,0.1482,316.43,2025-05-15,False
PRGS,120061,2025-04-30,MLA0478021,Renewal,1690.49,0.1089,184.09,2025-05-15,False
LIBM,120035,2025-04-30,VAX3133598,Renewal,856.46,0.1024,87.7,2025-05-15,False
ALLS,120197,2025-04-30,DJV3514787,New,1130.04,0.1252,141.48,2025-05-15,False
NATI,120071,2025-04-30,EVZ5802498,New,1645.17,0.1202,197.75,2025-05-15,False
ALLS,120020,2025-05-31,VSH2510554,Endorsement,-44.69,0.1004,-4.49,2025-06-15,True
AMFA,120121,2025-04-30,FSV3645869,Renewal,1018.42,0.0919,93.59,2025-05-15,False
LIBM,120186,2025-04-30,RWE6265045,New,1210.42,0.1239,149.97,2025-05-15,False
HART,120133,2025-09-30,AWH9889899,Cancel,-0.0,0.2,-0.0,2025-10-15,False
ALLS,120071,2025-04-30,VFJ0364695,New,2487.63,0.108,268.66,2025-05-15,False
LIBM,120286,2025-04-30,RAK5865191,Renewal,9273.38,0.1435,1330.73,2025-05-15,False
LIBM,120286,2026-04-30,RAK5865191,Audit,-1258.8,0.1435,-180.64,2026-05-15,True
NATI,120090,2025-04-30,KWN8295111,Renewal,1577.97,0.0878,138.55,2025-05-15,False
AMFA,120026,2025-04-30,STN6825090,New,1757.31,0.1206,211.93,2025-05-15,False
LIBM,120051,2025-04-30,RMH8871496,Renewal,1350.38,0.1433,193.51,2025-05-15,False
TRAV,120287,2025-04-30,KCH6760529,Renewal,1777.56,0.0712,126.56,2025-05-15,False
PRGS,120204,2025-09-30,JYE1989068,Endorsement,-10.25,0.0989,-1.01,2025-10-15,True
CHUB,120197,2025-08-31,TAH6712063,Endorsement,-46.57,0.0874,-4.07,2025-09-15,True
HART,120192,2025-04-30,RWK1849090,New,932.65,0.0902,84.13,2025-05-15,False
TRAV,120155,2025-04-30,GNC0659101,New,591.49,0.0749,44.3,2025-05-15,False
PRGS,120290,2025-04-30,XZU8494422,Renewal,1938.68,0.1089,211.12,2025-05-15,False
GEIC,120174,2025-04-30,SKT7986713,New,2992.24,0.1058,316.58,2025-05-15,False
PRGS,120189,2025-04-30,FAU5869891,New,965.43,0.1013,97.8,2025-05-15,False
AMFA,120221,2026-03-31,SCC8752654,Endorsement,18.53,0.1243,2.3,2026-04-15,False
TRAV,120095,2025-04-30,KZU6681536,Renewal,3472.26,0.1239,430.21,2025-05-15,False
PRGS,120279,2025-04-30,FJF9614232,Renewal,2892.62,0.1217,352.03,2025-05-15,False
FARM,120132,2025-10-31,UEW3265197,Endorsement,-66.79,0.0871,-5.82,2025-11-15,True
PRGS,120230,2025-04-30,WTY3923717,Renewal,1759.07,0.1295,227.8,2025-05-15,False
HART,120034,2025-04-30,XZZ3933486,Renewal,1570.21,0.1226,192.51,2025-05-15,False
TRAV,120091,2026-01-31,HME3678049,Endorsement,-16.63,0.1421,-2.36,2026-02-15,True
CHUB,120155,2025-12-31,ZLS5027434,Reinstate,0.0,0.1675,0.0,2026-01-15,False
AMFA,120025,2025-04-30,ETN6496996,New,1485.31,0.1026,152.39,2025-05-15,False
PRGS,120050,2025-04-30,JPJ8317538,Renewal,678.67,0.1234,83.75,2025-05-15,False
GEIC,120210,2025-04-30,ZGN1296305,Renewal,637.85,0.1544,98.48,2025-05-15,False
GEIC,120149,2025-04-30,KVK8239504,New,956.13,0.1129,107.95,2025-05-15,False
CHUB,120165,2025-04-30,KBZ6676765,Renewal,912.14,0.0705,64.31,2025-05-15,False
FARM,120267,2025-04-30,MCU2386055,Renewal,1500.0,0.177,265.5,2025-05-15,False
GEIC,120108,2025-04-30,YRC3215682,Renewal,882.6,0.0612,54.02,2025-05-15,False
TRAV,120169,2025-04-30,HSN9075091,New,1079.66,0.1127,121.68,2025-05-15,False
PRGS,120198,2025-04-30,WMJ0008341,New,1832.7,0.1245,228.17,2025-05-15,False
NATI,120047,2025-04-30,LUF5555565,Rewrite,8827.17,0.1291,1139.59,2025-05-15,False
TRAV,120025,2025-04-30,WWZ3230904,Renewal,4190.16,0.1461,612.18,2025-05-15,False
PRGS,120244,2025-04-30,YNP9639539,New,1212.07,0.0735,89.09,2025-05-15,False
NATI,120204,2025-04-30,XTX0087829,New,2037.94,0.1214,247.41,2025-05-15,False
LIBM,120099,2025-04-30,ZFL8211893,Renewal,9223.55,0.1488,1372.46,2025-05-15,False
ALLS,120220,2025-04-30,MPZ9589764,Renewal,913.21,0.0727,66.39,2025-05-15,False
PRGS,120261,2025-04-30,AAB7694406,Renewal,571.26,0.1088,62.15,2025-05-15,False
PRGS,120285,2025-04-30,NSE0399611,Renewal,2755.87,0.1415,389.96,2025-05-15,False
CHUB,120245,2025-04-30,GEE0991717,Renewal,1879.09,0.1188,223.24,2025-05-15,False
FARM,120215,2025-10-31,NUG9327530,Reinstate,0.0,0.1701,0.0,2025-11-15,False
FARM,120215,2026-05-31,NUG9327530,Audit,86.89,0.1701,14.78,2026-06-15,False
NATI,120278,2025-04-30,DGH4701032,Renewal,13491.48,0.0537,724.49,2025-05-15,False
PRGS,120295,2025-04-30,YTY0071990,Renewal,1078.94,0.1398,150.84,2025-05-15,False
ALLS,120066,2025-04-30,TSH3524538,Renewal,7604.56,0.1558,1184.79,2025-05-15,False
GEIC,120126,2025-04-30,MDE3829967,Renewal,5627.23,0.0906,509.83,2025-05-15,False
NATI,120265,2025-04-30,WVE8469301,New,1637.59,0.1251,204.86,2025-05-15,False
PRGS,120184,2025-04-30,VED4870059,New,1906.24,0.0795,151.55,2025-05-15,False
PRGS,120237,2025-04-30,HSM6017831,Renewal,8927.61,0.114,1017.75,2025-05-15,False
AMFA,120263,2025-04-30,RNL3023353,Renewal,1500.0,0.1438,215.7,2025-05-15,False
FARM,120139,2025-04-30,VFC9596866,Renewal,11238.44,0.127,1427.28,2025-05-15,False
HART,120146,2025-04-30,LBY6043130,Renewal,1500.0,0.1537,230.55,2025-05-15,False
HART,120216,2025-05-31,VPA4408105,Endorsement,22.26,0.1402,3.12,2025-06-15,False
LIBM,120284,2025-04-30,LAK6486756,Renewal,738.15,0.0965,71.23,2025-05-15,False
LIBM,120209,2025-04-30,YAJ7759294,Renewal,3104.5,0.1321,410.1,2025-05-15,False
HART,120210,2026-03-31,DXB4574589,Endorsement,-4.93,0.1414,-0.7,2026-04-15,True
GEIC,120132,2025-04-30,TMN2327257,Renewal,681.09,0.1294,88.13,2025-05-15,False
HART,120294,2025-04-30,GAJ9456273,Renewal,2425.44,0.0979,237.45,2025-05-15,False
HART,120258,2025-08-31,BPU5664174,Endorsement,-48.65,0.1156,-5.62,2025-09-15,True
PRGS,120212,2025-04-30,CFK3108978,New,595.59,0.0774,46.1,2025-05-15,False
GEIC,120110,2025-04-30,KPB0518823,New,931.98,0.0763,71.11,2025-05-15,False
PRGS,120128,2025-04-30,KYF2488219,Renewal,3875.84,0.0697,270.15,2025-05-15,False
NATI,120212,2025-06-30,EVT1670525,Endorsement,80.12,0.1085,8.69,2025-07-15,False
PRGS,120252,2025-04-30,JYL8362132,Renewal,2290.82,0.1294,296.43,2025-05-15,False
TRAV,120066,2025-04-30,CES4292580,Renewal,2072.9,0.0907,188.01,2025-05-15,False
TRAV,120075,2025-04-30,TSM6908288,Renewal,712.48,0.1107,78.87,2025-05-15,False
LIBM,120128,2025-04-30,ZTL4898472,Renewal,500.0,0.1232,61.6,2025-05-15,False
ALLS,120138,2025-04-30,PHV5746155,Renewal,1846.15,0.0997,184.06,2025-05-15,False
