AgentCode,PeriodStart,PeriodEnd,RetentionRate_adj,SubmissionQuality,LRadj_BENEFIT_inverted,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount,Submitted,Quoted,Bound,RewrittenPolicyRatio,LossRatio,RetentionRate,LossRatio_adj,EP_percentile_peer,EP_decile_peer,EP_utility_peer
120013,2025-04-01,2026-03-31,0.8485,0.3421,0.5189,43703.06,1738.9499999999998,4235.94,40209.1,13,9,13,3,0,38.0,27.0,13.0,0.0,0.0398,0.6923,0.4811,0.867109634551495,9,0.9730108544721712
120014,2025-04-01,2026-03-31,0.7142,0.3659,0.3239,42508.06,19037.09,5894.16,42508.06,15,6,15,9,0,41.0,34.0,15.0,0.0,0.4478,0.4,0.6761,0.8438538205980066,9,0.9704862837867642
120015,2025-04-01,2026-03-31,0.7673,0.3,0.3293,34194.46,14000.63,2136.25,20783.51,12,6,12,4,0,40.0,28.0,12.0,0.0,0.4094,0.5,0.6707,0.7209302325581395,8,0.9506690673039264
120016,2025-04-01,2026-03-31,0.6645,0.3529,0.3484,9113.369999999999,0.0,1102.3,8782.529999999999,6,2,6,3,0,17.0,16.0,6.0,0.0,0.0,0.3333,0.6516,0.03322259136212625,1,0.8302637495323539
120017,2025-04-01,2026-03-31,0.8831,0.3333,0.4902,30656.670000000002,0.0,3798.72,25102.02,12,9,12,1,0,36.0,29.0,12.0,0.0,0.0,0.75,0.5098,0.6478405315614618,7,0.9407242311725248
120018,2025-04-01,2026-03-31,0.779,0.3667,0.502,36401.08,789.48,3220.41,31139.1,11,6,11,3,0,30.0,24.0,11.0,0.0,0.0217,0.5455,0.498,0.7508305647840532,8,0.9563634237306481
120019,2025-04-01,2026-03-31,0.8977,0.3571,0.3436,39496.44,14829.66,5457.05,39077.1,10,8,10,1,0,28.0,25.0,10.0,0.0,0.3755,0.8,0.6564,0.8006644518272426,9,0.9637949541452673
120020,2025-04-01,2026-03-31,0.8888,0.3214,0.4265,22525.03,904.43,2902.12,20758.440000000002,9,7,9,1,0,28.0,18.0,9.0,0.0,0.0402,0.7778,0.5735,0.3920265780730897,4,0.9126580190474408
120021,2025-04-01,2026-03-31,0.781,0.4091,0.4966,32053.68,0.0,2534.55,20858.1,9,5,9,3,0,22.0,15.0,9.0,0.0,0.0,0.5556,0.5034,0.6810631229235881,7,0.9447819641983584
120022,2025-04-01,2026-03-31,0.7928,0.35,0.4795,28273.640000000003,0.0,2813.94,28055.06,7,4,7,2,0,20.0,17.0,7.0,0.0,0.0,0.5714,0.5205,0.5913621262458472,6,0.933355747958835
120023,2025-04-01,2026-03-31,0.8076,0.2778,0.5259,38313.6,0.0,3732.82,32764.38,10,6,10,1,0,36.0,27.0,10.0,0.0,0.0,0.6,0.4741,0.7807308970099668,8,0.9610262418272559
120024,2025-04-01,2026-03-31,0.8455,0.375,0.2623,14576.32,15718.01,1944.0900000000001,14576.32,6,4,6,2,0,16.0,13.0,6.0,0.0,1.0,0.6667,0.7377,0.15614617940199335,2,0.873027597594731
120025,2025-04-01,2026-03-31,0.8698,0.3235,0.2951,34850.1,20011.79,2739.87,20596.79,11,8,11,2,0,34.0,26.0,11.0,0.0,0.5742,0.7273,0.7049,0.7308970099667774,8,0.952398491875831
120026,2025-04-01,2026-03-31,0.8268,0.2895,0.3217,23471.510000000002,9482.85,2711.46,22910.89,11,7,11,3,0,38.0,23.0,11.0,0.0,0.404,0.6364,0.6783,0.42524916943521596,5,0.9164059697748608
120027,2025-04-01,2026-03-31,0.7107,0.3448,0.4953,31275.17,0.0,1960.1599999999999,17159.38,10,4,10,5,0,29.0,22.0,10.0,0.0,0.0,0.4,0.5047,0.6677740863787376,7,0.9425430578286019
120028,2025-04-01,2026-03-31,0.847,0.3714,0.5777,62504.36,1884.42,8516.95,62351.05,13,9,13,2,1,35.0,23.0,13.0,0.5,0.0301,0.6923,0.4223,0.9700996677740864,10,1.0
120029,2025-04-01,2026-03-31,0.807,0.4348,0.4021,15744.21,0.0,1737.46,14782.72,10,6,10,2,0,23.0,17.0,10.0,0.0,0.0,0.6,0.5979,0.19601328903654486,2,0.8800456494268466
120030,2025-04-01,2026-03-31,0.8148,0.3421,0.4248,21649.15,795.15,2852.62,21022.68,13,8,13,4,0,38.0,31.0,13.0,0.0,0.0367,0.6154,0.5752,0.37209302325581395,4,0.9090465945038563
120031,2025-04-01,2026-03-31,0.8777,0.3333,0.3386,8450.01,0.0,1016.79,8450.01,4,3,4,1,0,12.0,9.0,4.0,0.0,0.0,0.75,0.6614,0.019933554817275746,1,0.8233825603172652
120032,2025-04-01,2026-03-31,0.8168,0.3333,0.3396,9353.759999999998,434.96000000000004,1058.17,8402.45,8,5,8,1,0,24.0,21.0,8.0,0.0,0.0465,0.625,0.6604,0.03986710963455149,1,0.8326343570760553
120033,2025-04-01,2026-03-31,0.8128,0.3714,0.5139,45842.83,2669.0200000000004,4984.4,45842.83,13,8,13,5,0,35.0,25.0,13.0,0.0,0.0582,0.6154,0.4861,0.9036544850498339,10,0.9773635630607104
120034,2025-04-01,2026-03-31,0.7439,0.2979,0.4707,27146.670000000002,0.0,4021.71,25646.72,14,7,14,3,1,47.0,35.0,14.0,0.3333,0.0,0.5,0.5293,0.5481727574750831,6,0.9296519031910296
120035,2025-04-01,2026-03-31,0.7934,0.3333,0.3979,15431.35,0.0,2272.08,15431.35,7,4,7,3,0,21.0,17.0,7.0,0.0,0.0,0.5714,0.6021,0.18604651162790697,2,0.8782180219796519
120036,2025-04-01,2026-03-31,0.6014,0.2703,0.4555,24126.91,0.0,1647.99,13636.23,10,2,10,6,0,37.0,29.0,10.0,0.0,0.0,0.2,0.5445,0.45182724252491696,5,0.9189137430818115
120037,2025-04-01,2026-03-31,0.8122,0.3158,0.5913,76712.69,0.0,8516.95,65948.89,18,11,18,6,1,57.0,47.0,18.0,0.1667,0.0,0.6111,0.4087,0.9950166112956811,10,1.0
120038,2025-04-01,2026-03-31,0.8317,0.3256,0.6099,53351.81,0.0,5055.92,39648.01,14,9,14,2,0,43.0,34.0,14.0,0.0,0.0,0.6429,0.3901,0.9335548172757475,10,0.9911763323197642
120039,2025-04-01,2026-03-31,0.7496,0.3478,0.3558,23472.26,6491.209999999999,2776.58,23472.26,8,4,8,4,0,23.0,15.0,8.0,0.0,0.2765,0.5,0.6442,0.42857142857142855,5,0.916408879352652
120040,2025-04-01,2026-03-31,0.6879,0.32,0.3929,14938.66,0.0,1360.31,14485.86,8,3,8,4,0,25.0,21.0,8.0,0.0,0.0,0.375,0.6071,0.16611295681063123,2,0.8752633893565288
120041,2025-04-01,2026-03-31,0.7519,0.359,0.2794,22216.25,15707.9,2390.27,20501.0,14,7,14,3,0,39.0,29.0,14.0,0.0,0.707,0.5,0.7206,0.38205980066445183,4,0.9114011402035931
120042,2025-04-01,2026-03-31,0.8044,0.3571,0.2531,15038.78,20684.73,1583.1100000000001,11527.130000000001,10,6,10,2,0,28.0,17.0,10.0,0.0,1.0,0.6,0.7469,0.17275747508305647,2,0.8758716141445007
120043,2025-04-01,2026-03-31,0.8241,0.3793,0.5172,36676.54,0.0,3793.42,36436.229999999996,11,7,11,3,0,29.0,25.0,11.0,0.0,0.0,0.6364,0.4828,0.7574750830564784,8,0.9570499062706399
120044,2025-04-01,2026-03-31,0.8951,0.2857,0.2298,40492.05,90593.51999999999,2865.9700000000003,22709.24,14,11,14,1,0,49.0,36.0,14.0,0.0,1.0,0.7857,0.7702,0.8106312292358804,9,0.9660618861682849
120045,2025-04-01,2026-03-31,0.7389,0.4,0.2181,13307.86,36576.89,1364.05,13307.86,6,3,6,3,0,15.0,13.0,6.0,0.0,1.0,0.5,0.7819,0.12624584717607973,2,0.8647376320730263
120046,2025-04-01,2026-03-31,0.7031,0.3125,0.2396,8181.389999999999,24881.879999999997,793.36,7763.0,5,2,5,2,0,16.0,10.0,5.0,0.0,1.0,0.4,0.7604,0.016611295681063124,1,0.8204411185894154
120047,2025-04-01,2026-03-31,0.7187,0.3077,0.4469,36341.54,4694.53,3613.25,27085.86,12,5,12,4,1,39.0,32.0,12.0,0.25,0.1292,0.4167,0.5531,0.7475083056478405,8,0.9562143595751231
120048,2025-04-01,2026-03-31,0.8381,0.2927,0.3503,35251.69,12259.77,3250.94,28257.190000000002,12,8,12,2,0,41.0,30.0,12.0,0.0,0.3478,0.6667,0.6497,0.7342192691029901,8,0.9534417969489414
120049,2025-04-01,2026-03-31,0.8964,0.3333,0.4361,21165.11,0.0,3415.1600000000003,21165.11,5,4,5,1,0,15.0,11.0,5.0,0.0,0.0,0.8,0.5639,0.3554817275747508,4,0.906987595188527
120050,2025-04-01,2026-03-31,0.7986,0.3077,0.4696,27115.309999999998,0.0,2819.11,23551.06,12,7,12,4,0,39.0,32.0,12.0,0.0,0.0,0.5833,0.5304,0.5448504983388704,6,0.9295466513660865
120051,2025-04-01,2026-03-31,0.8388,0.2857,0.363,10567.470000000001,0.0,1280.8,10567.470000000001,6,4,6,2,0,21.0,16.0,6.0,0.0,0.0,0.6667,0.637,0.0664451827242525,1,0.8437429351107123
120052,2025-04-01,2026-03-31,0.7534,0.3226,0.2425,18640.58,31701.61,2087.66,14731.92,10,5,10,3,0,31.0,27.0,10.0,0.0,1.0,0.5,0.7575,0.27906976744186046,3,0.8954221600594328
120053,2025-04-01,2026-03-31,0.9131,0.3529,0.2032,44863.42,93546.26000000001,3610.38,31386.71,12,10,12,1,0,34.0,29.0,12.0,0.0,1.0,0.8333,0.7968,0.8870431893687708,9,0.9753970365751649
120054,2025-04-01,2026-03-31,0.7652,0.2857,0.3474,9082.1,0.0,1414.0400000000002,8761.31,4,2,4,1,0,14.0,9.0,4.0,0.0,0.0,0.5,0.6526,0.029900332225913623,1,0.8299507941155371
120055,2025-04-01,2026-03-31,0.8403,0.4286,0.2993,7647.87,1474.3200000000002,780.77,7032.2300000000005,3,2,3,1,0,7.0,4.0,3.0,0.0,0.2758,0.6667,0.7007,0.008305647840531562,1,0.8143011677730075
120056,2025-04-01,2026-03-31,0.8582,0.3448,0.4112,47745.07,11468.43,5263.05,47745.07,10,7,10,3,0,29.0,17.0,10.0,0.0,0.2402,0.7,0.5888,0.9069767441860465,10,0.9810657753516774
120057,2025-04-01,2026-03-31,0.7229,0.2917,0.4654,26071.14,0.0,3885.69,26071.14,7,3,7,3,1,24.0,14.0,7.0,0.3333,0.0,0.4286,0.5346,0.5149501661129569,6,0.9259708379090255
120058,2025-04-01,2026-03-31,0.7749,0.325,0.4865,29374.059999999998,0.0,4126.21,28989.649999999998,13,7,13,4,1,40.0,31.0,13.0,0.25,0.0,0.5385,0.5135,0.6212624584717608,7,0.9368325451142204
120059,2025-04-01,2026-03-31,0.7645,0.2963,0.4146,18009.43,0.0,1773.69,17425.010000000002,8,4,8,3,0,27.0,20.0,8.0,0.0,0.0,0.5,0.5854,0.2558139534883721,3,0.8922856773390604
120060,2025-04-01,2026-03-31,0.8938,0.3256,0.3549,41697.350000000006,15110.22,5025.22,41697.350000000006,14,11,14,3,0,43.0,37.0,14.0,0.0,0.3624,0.7857,0.6451,0.8305647840531561,9,0.9687328320551016
120061,2025-04-01,2026-03-31,0.8493,0.3421,0.3007,29910.54,15723.39,3917.98,29159.5,13,9,13,2,0,38.0,31.0,13.0,0.0,0.5257,0.6923,0.6993,0.6345514950166113,7,0.9384806089203238
120062,2025-04-01,2026-03-31,0.7895,0.3684,0.3787,12560.0,0.0,1431.01,12560.0,7,4,7,3,0,19.0,17.0,7.0,0.0,0.0,0.5714,0.6213,0.10963455149501661,2,0.8594712492270519
120063,2025-04-01,2026-03-31,0.8109,0.3226,0.4433,21880.94,0.0,2836.32,21430.75,10,6,10,3,0,31.0,23.0,10.0,0.0,0.0,0.6,0.5567,0.3787375415282392,4,0.9100163326012531
120064,2025-04-01,2026-03-31,0.7447,0.3333,0.5316,42804.52,0.0,4595.99,41047.27,12,6,12,4,0,36.0,23.0,12.0,0.0,0.0,0.5,0.4684,0.8504983388704319,9,0.9711191468828596
120065,2025-04-01,2026-03-31,0.6944,0.325,0.4154,31849.22,5121.1,3669.66,27935.56,13,5,13,4,1,40.0,29.0,13.0,0.25,0.1608,0.3846,0.5846,0.6744186046511628,7,0.9441992697838716
120066,2025-04-01,2026-03-31,0.8853,0.3421,0.3159,37578.92,17993.46,4445.0,37344.28,13,10,13,2,0,38.0,30.0,13.0,0.0,0.4788,0.7692,0.6841,0.770764119601329,8,0.9592631840645657
120067,2025-04-01,2026-03-31,0.8417,0.2857,0.2578,16418.87,18790.370000000003,2202.17,16418.87,6,4,6,2,0,21.0,15.0,6.0,0.0,1.0,0.6667,0.7422,0.20930232558139536,3,0.883866228596114
120068,2025-04-01,2026-03-31,0.748,0.3333,0.4129,17717.29,0.0,2037.37,17717.29,6,3,6,3,0,18.0,15.0,6.0,0.0,0.0,0.5,0.5871,0.25249169435215946,3,0.8907964931298625
120069,2025-04-01,2026-03-31,0.8395,0.3636,0.4979,33247.33,0.0,3340.6,26211.11,12,8,12,3,0,33.0,25.0,12.0,0.0,0.0,0.6667,0.5021,0.6943521594684385,7,0.9481112981016956
120070,2025-04-01,2026-03-31,0.8037,0.3125,0.1971,14973.29,82188.62,1598.81,13454.71,10,6,10,2,0,32.0,26.0,10.0,0.0,1.0,0.6,0.8029,0.16943521594684385,2,0.8754742250314381
120071,2025-04-01,2026-03-31,0.7472,0.2791,0.5093,42974.92,2253.66,4840.83,42974.92,12,6,12,6,0,43.0,34.0,12.0,0.0,0.0524,0.5,0.4907,0.8571428571428571,9,0.9714809247596405
120072,2025-04-01,2026-03-31,0.7431,0.3448,0.3938,28540.39,5453.9400000000005,2748.73,28540.39,10,5,10,5,0,29.0,20.0,10.0,0.0,0.1911,0.5,0.6062,0.6046511627906976,7,0.9342108184346903
120073,2025-04-01,2026-03-31,0.8643,0.3684,0.4256,19486.79,0.0,2058.08,17821.97,7,5,7,0,0,19.0,17.0,7.0,,0.0,0.7143,0.5744,0.29900332225913623,3,0.8994647064925099
120074,2025-04-01,2026-03-31,0.7057,0.3333,0.3829,40915.4,11984.33,4211.280000000001,37915.4,10,4,10,4,1,30.0,24.0,10.0,0.25,0.2929,0.4,0.6171,0.8172757475083057,9,0.9670089818024966
120075,2025-04-01,2026-03-31,0.7616,0.303,0.4308,20666.11,0.0,3056.73,19367.739999999998,10,5,10,2,0,33.0,25.0,10.0,0.0,0.0,0.5,0.5692,0.33222591362126247,4,0.9048150689687494
120076,2025-04-01,2026-03-31,0.7397,0.4,0.3648,10672.77,0.0,836.18,7032.2300000000005,6,3,6,2,0,15.0,13.0,6.0,0.0,0.0,0.5,0.6352,0.06976744186046512,1,0.8446457460101399
120077,2025-04-01,2026-03-31,0.9248,0.3,0.4564,24879.42,0.0,2895.58,24479.690000000002,9,8,9,0,0,30.0,22.0,9.0,,0.0,0.8889,0.5436,0.4684385382059801,5,0.9217104160361258
120078,2025-04-01,2026-03-31,0.7908,0.3333,0.2828,21840.62,14645.38,2492.31,21294.59,7,4,7,2,0,21.0,19.0,7.0,0.0,0.6706,0.5714,0.7172,0.3754152823920266,4,0.9098483863525914
120079,2025-04-01,2026-03-31,0.6218,0.2857,0.3098,7647.87,1279.78,780.77,7032.2300000000005,4,1,4,2,0,14.0,9.0,4.0,0.0,0.2142,0.25,0.6902,0.008305647840531562,1,0.8143011677730075
120080,2025-04-01,2026-03-31,0.7953,0.3636,0.2601,25159.17,25408.32,2566.86,20438.26,12,7,12,3,0,33.0,26.0,12.0,0.0,1.0,0.5833,0.7399,0.47840531561461797,5,0.9227285791854117
120081,2025-04-01,2026-03-31,0.7715,0.3333,0.4675,26369.11,0.0,2889.03,26194.920000000002,10,5,10,3,1,30.0,23.0,10.0,0.3333,0.0,0.5,0.5325,0.5282392026578073,6,0.9270056489990344
120082,2025-04-01,2026-03-31,0.9464,0.3846,0.3346,16441.0,4321.14,1869.27,16441.0,5,5,5,0,0,13.0,8.0,5.0,,0.2628,1.0,0.6654,0.21262458471760798,3,0.8839888748768392
120083,2025-04-01,2026-03-31,0.7902,0.3415,0.4378,23504.11,808.64,2898.09,22733.22,14,8,14,5,0,41.0,29.0,14.0,0.0,0.0344,0.5714,0.5622,0.4318936877076412,5,0.9165323536989273
120084,2025-04-01,2026-03-31,0.8208,0.3636,0.4282,20206.09,0.0,1256.64,10712.09,8,5,8,1,0,22.0,15.0,8.0,0.0,0.0,0.625,0.5718,0.31561461794019935,4,0.9027652714554408
120085,2025-04-01,2026-03-31,0.8757,0.32,0.3376,10518.119999999999,1187.34,1351.12,10518.119999999999,8,6,8,2,0,25.0,19.0,8.0,0.0,0.1129,0.75,0.6624,0.06312292358803986,1,0.8433167226161343
120086,2025-04-01,2026-03-31,0.7298,0.375,0.3946,23089.18,3174.1,1914.82,15579.53,9,4,9,2,0,24.0,19.0,9.0,0.0,0.1375,0.4444,0.6054,0.4119601328903654,5,0.9149105082241236
120087,2025-04-01,2026-03-31,0.8102,0.3125,0.3846,23401.85,4325.11,1031.38,8453.5,5,3,5,1,0,16.0,11.0,5.0,0.0,0.1848,0.6,0.6154,0.4186046511627907,5,0.9161353220690506
120088,2025-04-01,2026-03-31,0.7966,0.2927,0.3913,24548.29,4043.35,2598.3,19761.22,12,7,12,2,0,41.0,30.0,12.0,0.0,0.1647,0.5833,0.6087,0.46179401993355484,5,0.9204903533651109
120089,2025-04-01,2026-03-31,0.7335,0.2903,0.3921,19251.62,1861.06,1605.8500000000001,12604.689999999999,9,4,9,2,0,31.0,23.0,9.0,0.0,0.0967,0.4444,0.6079,0.292358803986711,3,0.8983591314723414
120090,2025-04-01,2026-03-31,0.8501,0.3571,0.423,40469.509999999995,7741.51,3896.4300000000003,37469.509999999995,10,7,10,2,0,28.0,20.0,10.0,0.0,0.1913,0.7,0.577,0.8073089700996677,9,0.9660111836531605
120091,2025-04-01,2026-03-31,0.8194,0.3478,0.4545,23982.47,0.0,2328.7200000000003,15104.26,8,5,8,1,0,23.0,19.0,8.0,0.0,0.0,0.625,0.5455,0.44518272425249167,5,0.9183669712324222
120092,2025-04-01,2026-03-31,0.8462,0.3019,0.5604,66496.7,8737.01,7569.33,65948.89,16,11,16,4,0,53.0,40.0,16.0,0.0,0.1314,0.6875,0.4396,0.9767441860465116,10,1.0
120093,2025-04-01,2026-03-31,0.6862,0.3235,0.3871,26105.47,5223.860000000001,3231.21,25690.62,11,4,11,5,1,34.0,25.0,11.0,0.2,0.2001,0.3636,0.6129,0.521594684385382,6,0.9260906626604756
120094,2025-04-01,2026-03-31,0.7317,0.3103,0.3604,12272.57,860.07,1566.38,11379.03,9,4,9,3,0,29.0,23.0,9.0,0.0,0.0701,0.4444,0.6396,0.10631229235880399,2,0.8573633006157311
120095,2025-04-01,2026-03-31,0.7856,0.3,0.4387,41278.729999999996,6980.280000000001,4614.17,40238.94,18,10,18,5,0,60.0,48.0,18.0,0.0,0.1691,0.5556,0.5613,0.8239202657807309,9,0.9678140226065185
120096,2025-04-01,2026-03-31,0.758,0.3077,0.2844,11666.84,7744.43,1392.4,10900.81,8,4,8,2,0,26.0,19.0,8.0,0.0,0.6638,0.5,0.7156,0.09966777408637874,1,0.852754507348241
120097,2025-04-01,2026-03-31,0.8652,0.3415,0.5864,67333.37,0.0,8516.95,65948.89,14,10,14,3,0,41.0,26.0,14.0,0.0,0.0,0.7143,0.4136,0.9800664451827242,10,1.0
120098,2025-04-01,2026-03-31,0.8717,0.3235,0.4927,38710.659999999996,2207.35,4899.75,38710.659999999996,11,8,11,3,0,34.0,25.0,11.0,0.0,0.057,0.7273,0.5073,0.7906976744186046,8,0.9619650705113851
120099,2025-04-01,2026-03-31,0.7279,0.3214,0.2365,21373.56,59689.31,2765.78,20507.53,9,4,9,3,0,28.0,21.0,9.0,0.0,1.0,0.4444,0.7635,0.36212624584717606,4,0.9078800088829683
120100,2025-04-01,2026-03-31,0.8135,0.3023,0.4614,27821.71,739.9399999999999,2940.94,24391.33,13,8,13,4,0,43.0,38.0,13.0,0.0,0.0266,0.6154,0.5386,0.5614617940199336,6,0.9318885003927093
120101,2025-04-01,2026-03-31,0.8063,0.2857,0.4334,22711.52,625.32,2617.23,22170.280000000002,10,6,10,2,0,35.0,28.0,10.0,0.0,0.0275,0.6,0.5666,0.4019933554817276,5,0.913408802183661
120102,2025-04-01,2026-03-31,0.6444,0.3636,0.4188,18483.08,0.0,2032.32,18483.08,4,1,4,3,0,11.0,10.0,4.0,0.0,0.0,0.25,0.5812,0.2691029900332226,3,0.8946495254521143
120103,2025-04-01,2026-03-31,0.7769,0.2973,0.4213,25975.42,2526.36,2891.18,24408.93,11,6,11,2,1,37.0,30.0,11.0,0.5,0.0973,0.5455,0.5787,0.5049833887043189,6,0.9256359035996286
120104,2025-04-01,2026-03-31,0.8083,0.2941,0.3709,18532.4,3115.03,2175.2599999999998,18532.4,10,6,10,4,0,34.0,25.0,10.0,0.0,0.1681,0.6,0.6291,0.2724252491694352,3,0.894892176209292
120105,2025-04-01,2026-03-31,0.7875,0.3214,0.2777,30745.1,21686.93,4563.74,30745.1,9,5,9,3,1,28.0,22.0,9.0,0.3333,0.7054,0.5556,0.7223,0.654485049833887,7,0.940986514125922
120106,2025-04-01,2026-03-31,0.9206,0.3182,0.5223,37714.49,0.0,4226.62,37252.17,7,6,7,0,0,22.0,16.0,7.0,,0.0,0.8571,0.4777,0.7740863787375415,8,0.9595910986537787
120107,2025-04-01,2026-03-31,0.8708,0.3056,0.2876,18079.100000000002,11341.18,2194.0299999999997,18079.100000000002,11,8,11,3,0,36.0,25.0,11.0,0.0,0.6273,0.7273,0.7124,0.2591362126245847,3,0.8926372525666049
120108,2025-04-01,2026-03-31,0.7736,0.3,0.1819,32805.1,45151.48,1970.13,16886.64,15,8,15,3,0,50.0,33.0,15.0,0.0,1.0,0.5333,0.8181,0.6877076411960132,7,0.9468919774857858
120109,2025-04-01,2026-03-31,0.95,0.3077,0.2333,37354.31,85115.91,5182.48,37354.31,8,8,8,0,0,26.0,23.0,8.0,,1.0,1.0,0.7667,0.7641196013289037,8,0.958717288557141
120110,2025-04-01,2026-03-31,0.6398,0.2857,0.172,17588.65,38628.43,944.77,9723.49,8,2,8,4,0,28.0,22.0,8.0,0.0,1.0,0.25,0.828,0.24584717607973422,3,0.8901329475668246
120111,2025-04-01,2026-03-31,0.8809,0.3333,0.6181,60456.409999999996,0.0,5101.5599999999995,45284.47,12,9,12,1,0,36.0,26.0,12.0,0.0,0.0,0.75,0.3819,0.9634551495016611,10,1.0
120112,2025-04-01,2026-03-31,0.7587,0.3,0.5124,43338.56,2108.37,1876.83,14423.96,6,3,6,1,0,20.0,17.0,6.0,0.0,0.0486,0.5,0.4876,0.8637873754152824,9,0.9722481991536284
120113,2025-04-01,2026-03-31,0.8089,0.3846,0.3577,9842.11,0.0,1134.1200000000001,9842.11,5,3,5,2,0,13.0,10.0,5.0,0.0,0.0,0.6,0.6423,0.04983388704318937,1,0.8372681542703583
120114,2025-04-01,2026-03-31,0.7882,0.3333,0.3863,17489.71,1618.7,1544.9099999999999,16394.85,9,5,9,3,0,27.0,22.0,9.0,0.0,0.0926,0.5556,0.6137,0.2425249169435216,3,0.8896192894060124
120115,2025-04-01,2026-03-31,0.6786,0.3889,0.494,31180.71,0.0,2770.71,20307.850000000002,14,5,14,4,0,36.0,32.0,14.0,0.0,0.0,0.3571,0.506,0.6644518272425249,7,0.9422676183359299
120116,2025-04-01,2026-03-31,0.8303,0.3793,0.4584,24909.04,0.0,2836.58,24909.04,11,7,11,4,0,29.0,21.0,11.0,0.0,0.0,0.6364,0.5416,0.4717607973421927,5,0.9218187598559328
120117,2025-04-01,2026-03-31,0.8025,0.3333,0.475,27570.2,0.0,781.0799999999999,10379.02,5,3,5,0,0,15.0,12.0,5.0,,0.0,0.6,0.525,0.5581395348837209,6,0.9310615843894585
120118,2025-04-01,2026-03-31,0.9114,0.3158,0.306,9149.44,3297.55,1358.17,9149.44,6,5,6,1,0,19.0,14.0,6.0,0.0,0.3604,0.8333,0.694,0.036544850498338874,1,0.8306234133290142
120119,2025-04-01,2026-03-31,0.7464,0.3478,0.4205,21603.34,938.14,2070.35,21603.34,8,4,8,4,0,23.0,20.0,8.0,0.0,0.0434,0.5,0.5795,0.3654485049833887,4,0.908853711289543
