AgentCode,PeriodStart,PeriodEnd,RetentionRate,LossRatio,CommissionRatio,RewrittenPolicyRatio,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount
120046,2025-04-01,2026-03-31,0.4,3.04,0.1,0.0,8181.389999999999,24881.879999999997,793.36,7763.0,5,2,5,2,0
120047,2025-04-01,2026-03-31,0.42,0.13,0.13,0.25,36341.54,4694.53,3613.25,27085.86,12,5,12,4,1
120048,2025-04-01,2026-03-31,0.67,0.35,0.12,0.0,35251.69,12259.77,3250.94,28257.190000000002,12,8,12,2,0
120049,2025-04-01,2026-03-31,0.8,0.0,0.16,0.0,21165.11,0.0,3415.1600000000003,21165.11,5,4,5,1,0
120050,2025-04-01,2026-03-31,0.58,0.0,0.12,0.0,27115.309999999998,0.0,2819.11,23551.06,12,7,12,4,0
120051,2025-04-01,2026-03-31,0.67,0.0,0.12,0.0,10567.470000000001,0.0,1280.8,10567.470000000001,6,4,6,2,0
120052,2025-04-01,2026-03-31,0.5,1.7,0.14,0.0,18640.58,31701.61,2087.66,14731.92,10,5,10,3,0
120053,2025-04-01,2026-03-31,0.83,2.09,0.12,0.0,44863.42,93546.26000000001,3610.38,31386.71,12,10,12,1,0
120054,2025-04-01,2026-03-31,0.5,0.0,0.16,0.0,9082.1,0.0,1414.0400000000002,8761.31,4,2,4,1,0
120055,2025-04-01,2026-03-31,0.67,0.28,0.12,0.0,5344.68,1474.3200000000002,663.49,5344.68,3,2,3,1,0
120056,2025-04-01,2026-03-31,0.7,0.24,0.11,0.0,47745.07,11468.43,5263.05,47745.07,10,7,10,3,0
120057,2025-04-01,2026-03-31,0.43,0.0,0.15,0.33,26071.14,0.0,3885.69,26071.14,7,3,7,3,1
120058,2025-04-01,2026-03-31,0.54,0.0,0.14,0.25,29374.059999999998,0.0,4126.21,28989.649999999998,13,7,13,4,1
120059,2025-04-01,2026-03-31,0.5,0.0,0.1,0.0,18009.43,0.0,1773.69,17425.010000000002,8,4,8,3,0
120060,2025-04-01,2026-03-31,0.79,0.36,0.12,0.0,41697.350000000006,15110.22,5025.22,41697.350000000006,14,11,14,3,0
120061,2025-04-01,2026-03-31,0.69,0.53,0.13,0.0,29910.54,15723.39,3917.98,29159.5,13,9,13,2,0
120062,2025-04-01,2026-03-31,0.57,0.0,0.11,0.0,12560.0,0.0,1431.01,12560.0,7,4,7,3,0
120063,2025-04-01,2026-03-31,0.6,0.0,0.13,0.0,21880.94,0.0,2836.32,21430.75,10,6,10,3,0
120064,2025-04-01,2026-03-31,0.5,0.0,0.11,0.0,42804.52,0.0,4595.99,41047.27,12,6,12,4,0
120065,2025-04-01,2026-03-31,0.38,0.16,0.13,0.25,31849.22,5121.1,3669.66,27935.56,13,5,13,4,1
120066,2025-04-01,2026-03-31,0.77,0.48,0.12,0.0,37578.92,17993.46,4445.0,37344.28,13,10,13,2,0
120067,2025-04-01,2026-03-31,0.67,1.14,0.13,0.0,16418.87,18790.370000000003,2202.17,16418.87,6,4,6,2,0
120068,2025-04-01,2026-03-31,0.5,0.0,0.11,0.0,17717.29,0.0,2037.37,17717.29,6,3,6,3,0
120069,2025-04-01,2026-03-31,0.67,0.0,0.13,0.0,33247.33,0.0,3340.6,26211.11,12,8,12,3,0
120070,2025-04-01,2026-03-31,0.6,5.49,0.12,0.0,14973.29,82188.62,1598.81,13454.71,10,6,10,2,0
120071,2025-04-01,2026-03-31,0.5,0.05,0.11,0.0,42974.92,2253.66,4840.83,42974.92,12,6,12,6,0
120072,2025-04-01,2026-03-31,0.5,0.19,0.1,0.0,28540.39,5453.9400000000005,2748.73,28540.39,10,5,10,5,0
120073,2025-04-01,2026-03-31,0.71,0.0,0.12,,19486.79,0.0,2058.08,17821.97,7,5,7,0,0
120074,2025-04-01,2026-03-31,0.4,0.29,0.11,0.25,40915.4,11984.33,4211.280000000001,37915.4,10,4,10,4,1
120075,2025-04-01,2026-03-31,0.5,0.0,0.16,0.0,20666.11,0.0,3056.73,19367.739999999998,10,5,10,2,0
120076,2025-04-01,2026-03-31,0.5,0.0,0.12,0.0,10672.77,0.0,836.18,7032.2300000000005,6,3,6,2,0
120077,2025-04-01,2026-03-31,0.89,0.0,0.12,,24879.42,0.0,2895.58,24479.690000000002,9,8,9,0,0
120078,2025-04-01,2026-03-31,0.57,0.67,0.12,0.0,21840.62,14645.38,2492.31,21294.59,7,4,7,2,0
120079,2025-04-01,2026-03-31,0.25,0.21,0.11,0.0,5974.23,1279.78,590.23,5308.49,4,1,4,2,0
120080,2025-04-01,2026-03-31,0.58,1.01,0.13,0.0,25159.17,25408.32,2566.86,20438.26,12,7,12,3,0
120081,2025-04-01,2026-03-31,0.5,0.0,0.11,0.33,26369.11,0.0,2889.03,26194.920000000002,10,5,10,3,1
120082,2025-04-01,2026-03-31,1.0,0.26,0.11,,16441.0,4321.14,1869.27,16441.0,5,5,5,0,0
120083,2025-04-01,2026-03-31,0.57,0.03,0.13,0.0,23504.11,808.64,2898.09,22733.22,14,8,14,5,0
120084,2025-04-01,2026-03-31,0.62,0.0,0.12,0.0,20206.09,0.0,1256.64,10712.09,8,5,8,1,0
120085,2025-04-01,2026-03-31,0.75,0.11,0.13,0.0,10518.119999999999,1187.34,1351.12,10518.119999999999,8,6,8,2,0
120086,2025-04-01,2026-03-31,0.44,0.14,0.12,0.0,23089.18,3174.1,1914.82,15579.53,9,4,9,2,0
120087,2025-04-01,2026-03-31,0.6,0.18,0.12,0.0,23401.85,4325.11,1031.38,8453.5,5,3,5,1,0
120088,2025-04-01,2026-03-31,0.58,0.16,0.13,0.0,24548.29,4043.35,2598.3,19761.22,12,7,12,2,0
120089,2025-04-01,2026-03-31,0.44,0.1,0.13,0.0,19251.62,1861.06,1605.8500000000001,12604.689999999999,9,4,9,2,0
120090,2025-04-01,2026-03-31,0.7,0.19,0.1,0.0,40469.509999999995,7741.51,3896.4300000000003,37469.509999999995,10,7,10,2,0
120091,2025-04-01,2026-03-31,0.62,0.0,0.15,0.0,23982.47,0.0,2328.7200000000003,15104.26,8,5,8,1,0
120092,2025-04-01,2026-03-31,0.69,0.13,0.11,0.0,66496.7,8737.01,7569.33,65948.89,16,11,16,4,0
120093,2025-04-01,2026-03-31,0.36,0.2,0.13,0.2,26105.47,5223.860000000001,3231.21,25690.62,11,4,11,5,1
120094,2025-04-01,2026-03-31,0.44,0.07,0.14,0.0,12272.57,860.07,1566.38,11379.03,9,4,9,3,0
120095,2025-04-01,2026-03-31,0.56,0.17,0.11,0.0,41278.729999999996,6980.280000000001,4614.17,40238.94,18,10,18,5,0
120096,2025-04-01,2026-03-31,0.5,0.66,0.13,0.0,11666.84,7744.43,1392.4,10900.81,8,4,8,2,0
120097,2025-04-01,2026-03-31,0.71,0.0,0.14,0.0,67333.37,0.0,9173.18,66943.2,14,10,14,3,0
120098,2025-04-01,2026-03-31,0.73,0.06,0.13,0.0,38710.659999999996,2207.35,4899.75,38710.659999999996,11,8,11,3,0
120099,2025-04-01,2026-03-31,0.44,2.79,0.13,0.0,21373.56,59689.31,2765.78,20507.53,9,4,9,3,0
120100,2025-04-01,2026-03-31,0.62,0.03,0.12,0.0,27821.71,739.9399999999999,2940.94,24391.33,13,8,13,4,0
120101,2025-04-01,2026-03-31,0.6,0.03,0.12,0.0,22711.52,625.32,2617.23,22170.280000000002,10,6,10,2,0
120102,2025-04-01,2026-03-31,0.25,0.0,0.11,0.0,18483.08,0.0,2032.32,18483.08,4,1,4,3,0
120103,2025-04-01,2026-03-31,0.55,0.1,0.12,0.5,25975.42,2526.36,2891.18,24408.93,11,6,11,2,1
120104,2025-04-01,2026-03-31,0.6,0.17,0.12,0.0,18532.4,3115.03,2175.2599999999998,18532.4,10,6,10,4,0
120105,2025-04-01,2026-03-31,0.56,0.71,0.15,0.33,30745.1,21686.93,4563.74,30745.1,9,5,9,3,1
120106,2025-04-01,2026-03-31,0.86,0.0,0.11,,37714.49,0.0,4226.62,37252.17,7,6,7,0,0
120107,2025-04-01,2026-03-31,0.73,0.63,0.12,0.0,18079.100000000002,11341.18,2194.0299999999997,18079.100000000002,11,8,11,3,0
120108,2025-04-01,2026-03-31,0.53,1.38,0.12,0.0,32805.1,45151.48,1970.13,16886.64,15,8,15,3,0
120109,2025-04-01,2026-03-31,1.0,2.28,0.14,,37354.31,85115.91,5182.48,37354.31,8,8,8,0,0
120110,2025-04-01,2026-03-31,0.25,2.2,0.1,0.0,17588.65,38628.43,944.77,9723.49,8,2,8,4,0
120111,2025-04-01,2026-03-31,0.75,0.0,0.11,0.0,60456.409999999996,0.0,5101.5599999999995,45284.47,12,9,12,1,0
120112,2025-04-01,2026-03-31,0.5,0.05,0.13,0.0,43338.56,2108.37,1876.83,14423.96,6,3,6,1,0
120113,2025-04-01,2026-03-31,0.6,0.0,0.12,0.0,9842.11,0.0,1134.1200000000001,9842.11,5,3,5,2,0
120114,2025-04-01,2026-03-31,0.56,0.09,0.09,0.0,17489.71,1618.7,1544.9099999999999,16394.85,9,5,9,3,0
120115,2025-04-01,2026-03-31,0.36,0.0,0.14,0.0,31180.71,0.0,2770.71,20307.850000000002,14,5,14,4,0
120116,2025-04-01,2026-03-31,0.64,0.0,0.11,0.0,24909.04,0.0,2836.58,24909.04,11,7,11,4,0
120117,2025-04-01,2026-03-31,0.6,0.0,0.08,,27570.2,0.0,781.0799999999999,10379.02,5,3,5,0,0
120118,2025-04-01,2026-03-31,0.83,0.36,0.15,0.0,9149.44,3297.55,1358.17,9149.44,6,5,6,1,0
120119,2025-04-01,2026-03-31,0.5,0.04,0.1,0.0,21603.34,938.14,2070.35,21603.34,8,4,8,4,0
120120,2025-04-01,2026-03-31,0.58,0.1,0.12,0.0,29672.91,3016.74,3636.98,29672.91,12,7,12,5,0
120121,2025-04-01,2026-03-31,0.6,0.0,0.13,0.0,8826.02,0.0,1000.02,7794.030000000001,5,3,5,1,0
120122,2025-04-01,2026-03-31,0.8,0.06,0.11,0.0,34685.520000000004,2250.67,2907.4300000000003,25660.190000000002,10,8,10,1,0
120123,2025-04-01,2026-03-31,0.75,0.05,0.12,0.0,78268.61,4026.0099999999998,6701.08,57090.72,16,12,16,3,0
120124,2025-04-01,2026-03-31,0.46,0.24,0.13,0.0,28293.239999999998,6740.969999999999,3741.75,27721.85,13,6,13,6,0
120125,2025-04-01,2026-03-31,0.5,0.46,0.12,0.0,20717.9,9535.310000000001,2100.54,17717.9,8,4,8,3,0
120126,2025-04-01,2026-03-31,0.5,0.41,0.13,0.0,30796.2,12531.269999999999,3965.76,30012.86,10,5,10,3,0
120127,2025-04-01,2026-03-31,0.33,0.1,0.11,0.0,21067.67,2170.91,2380.71,20746.16,9,3,9,4,0
120128,2025-04-01,2026-03-31,0.55,0.1,0.1,0.0,26774.9,2688.98,2588.23,26774.9,11,6,11,5,0
120129,2025-04-01,2026-03-31,0.33,0.29,0.15,0.2,28056.36,8046.07,4095.9900000000002,28056.36,9,3,9,5,1
120130,2025-04-01,2026-03-31,0.5,0.13,0.16,0.0,17001.559999999998,2131.17,2582.7200000000003,16185.939999999999,6,3,6,2,0
120131,2025-04-01,2026-03-31,0.7,0.0,0.12,0.0,11561.52,0.0,1271.92,10589.47,10,7,10,1,0
120132,2025-04-01,2026-03-31,0.64,1.33,0.13,0.0,20206.989999999998,26940.54,2354.56,18327.89,11,7,11,2,0
120133,2025-04-01,2026-03-31,0.42,0.17,0.13,0.0,54891.05,9520.820000000002,6817.26,50921.15,19,8,19,8,0
120134,2025-04-01,2026-03-31,0.5,0.0,0.13,0.0,27893.12,0.0,1591.8400000000001,12432.28,10,5,10,2,0
120135,2025-04-01,2026-03-31,0.33,0.0,0.12,0.0,26052.5,0.0,2601.45,21505.67,9,3,9,5,0
120136,2025-04-01,2026-03-31,0.36,0.41,0.1,0.0,19700.33,8096.200000000001,1961.17,18883.68,11,4,11,5,0
120137,2025-04-01,2026-03-31,0.62,0.01,0.14,0.0,19700.77,249.96,2360.04,16700.77,8,5,8,2,0
120138,2025-04-01,2026-03-31,0.47,0.06,0.12,0.0,44983.48,2701.98,4559.67,37641.1,19,9,19,7,0
120139,2025-04-01,2026-03-31,0.5,0.14,0.11,0.0,38386.35,5225.05,4314.400000000001,37526.47,14,7,14,4,0
120140,2025-04-01,2026-03-31,0.6,0.14,0.11,0.0,25558.36,3580.2300000000005,2721.49,25558.36,10,6,10,4,0
120141,2025-04-01,2026-03-31,0.46,0.06,0.13,0.2,35412.26,2041.71,4682.7699999999995,35257.11,13,6,13,5,1
120142,2025-04-01,2026-03-31,0.62,0.43,0.1,0.0,39348.37,17010.7,2966.65,29700.43,8,5,8,1,0
120143,2025-04-01,2026-03-31,0.6,0.15,0.12,0.0,15321.5,2285.26,1845.46,15007.29,10,6,10,3,0
120144,2025-04-01,2026-03-31,0.33,0.28,0.11,0.2,28409.68,7874.59,2974.24,27661.79,12,4,12,5,1
120145,2025-04-01,2026-03-31,0.6,1.08,0.18,0.0,9997.85,10820.26,1708.46,9584.16,5,3,5,1,0
120146,2025-04-01,2026-03-31,0.44,0.0,0.1,0.0,12989.36,0.0,1255.51,12365.76,9,4,9,3,0
120147,2025-04-01,2026-03-31,0.4,0.36,0.12,0.0,11302.48,4035.2400000000002,1237.62,10325.18,5,2,5,1,0
120148,2025-04-01,2026-03-31,0.5,0.0,0.11,0.0,29172.489999999998,0.0,3223.49,29172.489999999998,12,6,12,6,0
120149,2025-04-01,2026-03-31,0.4,0.05,0.11,0.0,62322.96,2945.86,5125.52,46627.38,15,6,15,5,0
120150,2025-04-01,2026-03-31,0.43,0.0,0.11,0.0,16990.3,0.0,1825.7099999999998,16990.3,7,3,7,4,0
120151,2025-04-01,2026-03-31,0.75,3.24,0.12,0.0,21200.519999999997,68710.89,1893.41,15389.789999999999,8,6,8,1,0
120152,2025-04-01,2026-03-31,0.6,0.0,0.12,0.5,27330.64,0.0,3098.31,26923.07,10,6,10,2,1
120153,2025-04-01,2026-03-31,0.7,0.25,0.11,0.0,28568.34,7052.14,983.24,9085.02,10,7,10,1,0
120154,2025-04-01,2026-03-31,0.64,0.0,0.12,0.0,42895.6,0.0,4903.58,42408.65,11,7,11,3,0
120155,2025-04-01,2026-03-31,0.38,0.64,0.12,0.0,39951.94,25669.98,2414.58,19677.03,13,5,13,5,0
120156,2025-04-01,2026-03-31,0.8,0.0,0.12,,26269.93,0.0,2681.1400000000003,23104.309999999998,10,8,10,0,0
120157,2025-04-01,2026-03-31,0.29,0.0,0.11,0.0,9471.710000000001,0.0,955.95,9098.9,7,2,7,3,0
120158,2025-04-01,2026-03-31,0.7,0.01,0.11,0.0,45273.43,380.99,4950.5599999999995,45007.29,10,7,10,2,0
120159,2025-04-01,2026-03-31,0.44,0.0,0.16,0.0,23739.58,0.0,2347.21,15010.59,9,4,9,2,0
120160,2025-04-01,2026-03-31,0.5,0.46,0.12,0.0,38826.81,17755.71,4367.41,37644.3,12,6,12,3,0
120161,2025-04-01,2026-03-31,0.62,0.61,0.13,0.0,13038.66,7891.53,1648.31,13038.66,8,5,8,3,0
120162,2025-04-01,2026-03-31,0.5,0.0,0.1,0.0,21081.75,0.0,1012.4100000000001,10126.05,6,3,6,2,0
120163,2025-04-01,2026-03-31,0.64,1.3,0.13,0.0,27935.91,36240.93,3541.81,27935.91,11,7,11,4,0
120164,2025-04-01,2026-03-31,0.8,0.0,0.12,,6555.28,0.0,747.89,6214.54,5,4,5,0,0
120165,2025-04-01,2026-03-31,0.58,0.61,0.11,0.0,24389.14,14851.82,2577.43,24389.14,12,7,12,5,0
120166,2025-04-01,2026-03-31,0.64,0.0,0.12,0.0,33408.49,0.0,3045.2999999999997,25604.06,11,7,11,3,0
120167,2025-04-01,2026-03-31,0.7,0.0,0.1,0.0,33860.69,0.0,3138.37,30254.58,10,7,10,2,0
120168,2025-04-01,2026-03-31,0.56,0.15,0.09,0.0,42111.09,6480.220000000001,3617.9700000000003,42111.09,16,9,16,7,0
120169,2025-04-01,2026-03-31,0.62,0.0,0.15,0.0,23908.08,0.0,3550.7,23641.96,8,5,8,2,0
120170,2025-04-01,2026-03-31,0.54,0.0,0.11,0.0,74525.52,0.0,3566.58,33474.13,13,7,13,3,0
120171,2025-04-01,2026-03-31,0.6,0.0,0.12,0.0,15381.86,0.0,1181.16,9685.470000000001,5,3,5,1,0
120172,2025-04-01,2026-03-31,0.57,0.33,0.14,0.0,24064.5,7848.6900000000005,1924.54,13708.46,7,4,7,2,0
120173,2025-04-01,2026-03-31,0.5,0.0,0.12,0.0,17662.08,0.0,2126.34,17662.08,8,4,8,4,0
120174,2025-04-01,2026-03-31,0.5,0.58,0.14,0.0,42757.62,24760.829999999998,3975.24,29338.95,16,8,16,6,0
120175,2025-04-01,2026-03-31,0.55,0.13,0.12,0.0,22737.96,2859.62,2696.14,22301.03,11,6,11,4,0
120176,2025-04-01,2026-03-31,0.86,0.15,0.1,0.0,14079.68,2136.74,1450.17,14079.68,7,6,7,1,0
120177,2025-04-01,2026-03-31,0.53,3.48,0.1,0.0,30252.03,105168.36,2724.5699999999997,26127.89,17,9,17,6,0
120178,2025-04-01,2026-03-31,0.38,0.23,0.13,0.0,49515.51,11159.859999999999,4709.18,35839.08,13,5,13,6,0
120179,2025-04-01,2026-03-31,0.5,0.09,0.14,0.0,34132.38,3005.3,4446.94,32577.210000000003,14,7,14,4,0
120180,2025-04-01,2026-03-31,0.74,0.16,0.11,0.0,76712.69,12022.01,6141.42,56077.299999999996,19,14,19,4,0
120181,2025-04-01,2026-03-31,0.36,0.15,0.11,0.0,57317.33,8745.16,6459.45,57317.33,11,4,11,7,0
120182,2025-04-01,2026-03-31,0.5,0.0,0.11,0.5,59130.89,0.0,6166.679999999999,54618.16,10,5,10,2,1
120183,2025-04-01,2026-03-31,0.75,0.3,0.15,0.0,26024.7,7807.129999999999,4004.78,26024.7,8,6,8,2,0
120184,2025-04-01,2026-03-31,0.4,0.04,0.1,0.0,17089.27,707.83,1675.6599999999999,16372.36,10,4,10,5,0
120185,2025-04-01,2026-03-31,1.0,0.0,0.11,,12596.48,0.0,1336.95,12596.48,5,5,5,0,0
120186,2025-04-01,2026-03-31,0.71,0.0,0.11,0.0,20939.48,0.0,2361.61,20939.48,7,5,7,2,0
120187,2025-04-01,2026-03-31,0.25,0.42,0.14,0.0,10753.5,4508.06,1542.0800000000002,10753.5,4,1,4,3,0
120188,2025-04-01,2026-03-31,0.5,0.0,0.14,0.0,11077.130000000001,0.0,1499.76,11077.130000000001,6,3,6,3,0
120189,2025-04-01,2026-03-31,0.82,0.0,0.12,0.0,21612.010000000002,0.0,2678.83,21612.010000000002,11,9,11,2,0
120190,2025-04-01,2026-03-31,0.5,0.35,0.11,0.0,28098.74,9910.28,2596.15,23998.91,10,5,10,4,0
120191,2025-04-01,2026-03-31,0.7,0.13,0.12,0.0,25794.78,3258.62,3175.02,25794.78,10,7,10,3,0
120192,2025-04-01,2026-03-31,0.33,0.78,0.11,0.0,14166.43,10985.53,1482.29,13299.75,12,4,12,6,0
120193,2025-04-01,2026-03-31,0.75,0.49,0.12,0.0,33847.99,16532.83,4127.02,33333.15,12,9,12,2,0
120194,2025-04-01,2026-03-31,0.71,0.06,0.12,0.0,43066.090000000004,2634.38,5011.04,43066.090000000004,14,10,14,4,0
120195,2025-04-01,2026-03-31,0.62,0.41,0.12,0.0,16012.95,6556.14,1844.86,16012.95,8,5,8,3,0
120196,2025-04-01,2026-03-31,0.42,0.25,0.09,0.0,28010.13,7110.7,1464.71,15760.1,12,5,12,2,0
120197,2025-04-01,2026-03-31,0.43,0.05,0.12,0.0,50128.4,2409.0200000000004,2367.9,19951.88,14,6,14,5,0
120198,2025-04-01,2026-03-31,0.62,0.0,0.11,0.0,22503.73,0.0,1926.61,17708.760000000002,8,5,8,2,0
120199,2025-04-01,2026-03-31,0.2,0.0,0.13,0.0,22233.57,0.0,2801.31,21435.02,10,2,10,6,0
120200,2025-04-01,2026-03-31,0.44,0.16,0.13,0.0,20197.41,3305.67,2507.89,19426.13,9,4,9,4,0
120201,2025-04-01,2026-03-31,0.5,0.0,0.13,0.0,15560.05,0.0,1029.36,8160.1900000000005,8,4,8,2,0
120202,2025-04-01,2026-03-31,0.6,0.22,0.13,0.0,16548.58,3587.1,2061.19,15965.470000000001,10,6,10,3,0
120203,2025-04-01,2026-03-31,0.89,0.02,0.12,0.0,59838.17,1390.02,7214.01,59838.17,9,8,9,1,0
120204,2025-04-01,2026-03-31,0.73,1.86,0.11,0.0,48701.92,90410.33,5419.82,47842.11,15,11,15,2,0
120205,2025-04-01,2026-03-31,0.5,0.0,0.12,0.0,43832.759999999995,0.0,4945.39,42508.6,12,6,12,4,0
120206,2025-04-01,2026-03-31,0.29,0.0,0.11,0.0,10806.15,0.0,1159.48,10806.15,7,2,7,5,0
120207,2025-04-01,2026-03-31,0.5,0.1,0.1,0.0,33845.59,3477.99,3337.88,33845.59,6,3,6,3,0
120208,2025-04-01,2026-03-31,0.73,0.0,0.13,0.0,33410.93,0.0,3665.66,29053.55,11,8,11,2,0
120209,2025-04-01,2026-03-31,0.25,0.71,0.11,0.0,13749.73,9727.720000000001,1503.69,13376.01,8,2,8,5,0
120210,2025-04-01,2026-03-31,0.67,0.1,0.11,0.0,29408.35,2899.47,2338.32,21050.91,12,8,12,2,0
120211,2025-04-01,2026-03-31,0.56,3.43,0.12,0.0,20610.0,70625.89,2022.45,16457.17,9,5,9,2,0
120212,2025-04-01,2026-03-31,0.4,0.51,0.11,0.0,30644.489999999998,15657.130000000001,3324.14,29298.350000000002,15,6,15,6,0
