AgentCode,PeriodStart,PeriodEnd,RetentionRate_adj,SubmissionQuality,LRadj_BENEFIT_inverted,EarnedPremium,IncurredLoss,CommissionAmount,CommissionWrittenPremium,EligibleForRenewal,Renewals,PoliciesActive,NewCount,RewriteCount,Submitted,Quoted,Bound,RewrittenPolicyRatio,LossRatio,RetentionRate,LossRatio_adj,ERadj_BENEFIT_inverted,ExpenseRatio_raw,ExpenseRatio,EP_percentile_peer,EP_decile_peer,EP_utility_peer
120016,4/1/2025,3/31/2026,0.6645,0.3529,0.3484,9113.37,0,1102.3,8782.53,6,2,6,3,0,17,16,6,0,0,0.3333,0.6516,0.6623,0.220954159,0.3377,0.033222591,1,0.83026375
120017,4/1/2025,3/31/2026,0.8831,0.3333,0.4902,30656.67,0,3798.72,25102.02,12,9,12,1,0,36,29,12,0,0,0.75,0.5098,0.6583,0.223911697,0.3417,0.647840532,7,0.940724231
120018,4/1/2025,3/31/2026,0.779,0.3667,0.502,36401.08,789.48,3220.41,31139.1,11,6,11,3,0,30,24,11,0,0.0217,0.5455,0.498,0.7084,0.188470177,0.2916,0.750830565,8,0.956363424
120019,4/1/2025,3/31/2026,0.8977,0.3571,0.3436,39496.44,14829.66,5457.05,39077.1,10,8,10,1,0,28,25,10,0,0.3755,0.8,0.6564,0.6397,0.238165617,0.3603,0.800664452,9,0.963794954
120020,4/1/2025,3/31/2026,0.8888,0.3214,0.4265,22525.03,904.43,2902.12,20758.44,9,7,9,1,0,28,18,9,0,0.0402,0.7778,0.5735,0.6508,0.228839784,0.3492,0.392026578,4,0.912658019
120021,4/1/2025,3/31/2026,0.781,0.4091,0.4966,32053.68,0,2534.55,20858.1,9,5,9,3,0,22,15,9,0,0,0.5556,0.5034,0.7164,0.179072044,0.2836,0.681063123,7,0.944781964
120022,4/1/2025,3/31/2026,0.7928,0.35,0.4795,28273.64,0,2813.94,28055.06,7,4,7,2,0,20,17,7,0,0,0.5714,0.5205,0.6951,0.199525211,0.3049,0.591362126,6,0.933355748
120023,4/1/2025,3/31/2026,0.8076,0.2778,0.5259,38313.6,0,3732.82,32764.38,10,6,10,1,0,36,27,10,0,0,0.6,0.4741,0.6986,0.197428067,0.3014,0.780730897,8,0.961026242
120024,4/1/2025,3/31/2026,0.8455,0.375,0.2623,14576.32,15718.01,1944.09,14576.32,6,4,6,2,0,16,13,6,0,1,0.6667,0.7377,0.6456,0.23337317,0.3544,0.156146179,2,0.873027598
120025,4/1/2025,3/31/2026,0.8698,0.3235,0.2951,34850.1,20011.79,2739.87,20596.79,11,8,11,2,0,34,26,11,0,0.5742,0.7273,0.7049,0.7174,0.178618713,0.2826,0.73089701,8,0.952398492
120026,4/1/2025,3/31/2026,0.8268,0.2895,0.3217,23471.51,9482.85,2711.46,22910.89,11,7,11,3,0,38,23,11,0,0.404,0.6364,0.6783,0.6682,0.215521328,0.3318,0.425249169,5,0.91640597
120027,4/1/2025,3/31/2026,0.7107,0.3448,0.4953,31275.17,0,1960.16,17159.38,10,4,10,5,0,29,22,10,0,0,0.4,0.5047,0.7243,0.162674639,0.2757,0.667774086,7,0.942543058
120028,4/1/2025,3/31/2026,0.847,0.3714,0.5777,62504.36,1884.42,8516.95,62351.05,13,9,13,2,1,35,23,13,0.5,0.0301,0.6923,0.4223,0.6409,0.236261694,0.3591,0.970099668,10,1
120029,4/1/2025,3/31/2026,0.807,0.4348,0.4021,15744.21,0,1737.46,14782.72,10,6,10,2,0,23,17,10,0,0,0.6,0.5979,0.6796,0.210355489,0.3204,0.196013289,2,0.880045649
120030,4/1/2025,3/31/2026,0.8148,0.3421,0.4248,21649.15,795.15,2852.62,21022.68,13,8,13,4,0,38,31,13,0,0.0367,0.6154,0.5752,0.6475,0.231765912,0.3525,0.372093023,4,0.909046595
120031,4/1/2025,3/31/2026,0.8777,0.3333,0.3386,8450.01,0,1016.79,8450.01,4,3,4,1,0,12,9,4,0,0,0.75,0.6614,0.6637,0.220330035,0.3363,0.019933555,1,0.82338256
120032,4/1/2025,3/31/2026,0.8168,0.3333,0.3396,9353.76,434.96,1058.17,8402.45,8,5,8,1,0,24,21,8,0,0.0465,0.625,0.6604,0.6736,0.213127769,0.3264,0.03986711,1,0.832634357
120033,4/1/2025,3/31/2026,0.8128,0.3714,0.5139,45842.83,2669.02,4984.4,45842.83,13,8,13,5,0,35,25,13,0,0.0582,0.6154,0.4861,0.6824,0.208728017,0.3176,0.903654485,10,0.977363563
120034,4/1/2025,3/31/2026,0.7439,0.2979,0.4707,27146.67,0,4021.71,25646.72,14,7,14,3,1,47,35,14,0.3333,0,0.5,0.5293,0.6297,0.248147452,0.3703,0.548172757,6,0.929651903
120035,4/1/2025,3/31/2026,0.7934,0.3333,0.3979,15431.35,0,2272.08,15431.35,7,4,7,3,0,21,17,7,0,0,0.5714,0.6021,0.6316,0.247237928,0.3684,0.186046512,2,0.878218022
120036,4/1/2025,3/31/2026,0.6014,0.2703,0.4555,24126.91,0,1647.99,13636.23,10,2,10,6,0,37,29,10,0,0,0.2,0.5445,0.7216,0.168305059,0.2784,0.451827243,5,0.918913743
120037,4/1/2025,3/31/2026,0.8122,0.3158,0.5913,76712.69,0,8516.95,65948.89,18,11,18,6,1,57,47,18,0.1667,0,0.6111,0.4087,0.6779,0.211024004,0.3221,0.995016611,10,1
120038,4/1/2025,3/31/2026,0.8317,0.3256,0.6099,53351.81,0,5055.92,39648.01,14,9,14,2,0,43,34,14,0,0,0.6429,0.3901,0.7027,0.19476567,0.2973,0.933554817,10,0.991176332
120039,4/1/2025,3/31/2026,0.7496,0.3478,0.3558,23472.26,6491.21,2776.58,23472.26,8,4,8,4,0,23,15,8,0,0.2765,0.5,0.6442,0.6652,0.218291975,0.3348,0.428571429,5,0.916408879
120040,4/1/2025,3/31/2026,0.6879,0.32,0.3929,14938.66,0,1360.31,14485.86,8,3,8,4,0,25,21,8,0,0,0.375,0.6071,0.7069,0.191059707,0.2931,0.166112957,2,0.875263389
120041,4/1/2025,3/31/2026,0.7519,0.359,0.2794,22216.25,15707.9,2390.27,20501,14,7,14,3,0,39,29,14,0,0.707,0.5,0.7206,0.6829,0.207591065,0.3171,0.382059801,4,0.91140114
120042,4/1/2025,3/31/2026,0.8044,0.3571,0.2531,15038.78,20684.73,1583.11,11527.13,10,6,10,2,0,28,17,10,0,1,0.6,0.7469,0.6876,0.205268512,0.3124,0.172757475,2,0.875871614
120043,4/1/2025,3/31/2026,0.8241,0.3793,0.5172,36676.54,0,3793.42,36436.23,11,7,11,3,0,29,25,11,0,0,0.6364,0.4828,0.6895,0.203429058,0.3105,0.757475083,8,0.957049906
120044,4/1/2025,3/31/2026,0.8951,0.2857,0.2298,40492.05,90593.52,2865.97,22709.24,14,11,14,1,0,49,36,14,0,1,0.7857,0.7702,0.7209,0.170778585,0.2791,0.810631229,9,0.966061886
120045,4/1/2025,3/31/2026,0.7389,0.4,0.2181,13307.86,36576.89,1364.05,13307.86,6,3,6,3,0,15,13,6,0,1,0.5,0.7819,0.6908,0.202499575,0.3092,0.126245847,2,0.864737632
120046,4/1/2025,3/31/2026,0.7031,0.3125,0.2396,8181.39,24881.88,793.36,7763,5,2,5,2,0,16,10,5,0,1,0.4,0.7604,0.6992,0.196971297,0.3008,0.016611296,1,0.820441119
120047,4/1/2025,3/31/2026,0.7187,0.3077,0.4469,36341.54,4694.53,3613.25,27085.86,12,5,12,4,1,39,32,12,0.25,0.1292,0.4167,0.5531,0.6954,0.19942479,0.3046,0.747508306,8,0.95621436
120048,4/1/2025,3/31/2026,0.8381,0.2927,0.3503,35251.69,12259.77,3250.94,28257.19,12,8,12,2,0,41,30,12,0,0.3478,0.6667,0.6497,0.7061,0.192220827,0.2939,0.734219269,8,0.953441797
120049,4/1/2025,3/31/2026,0.8964,0.3333,0.4361,21165.11,0,3415.16,21165.11,5,4,5,1,0,15,11,5,0,0,0.8,0.5639,0.6065,0.261358009,0.3935,0.355481728,4,0.906987595
120050,4/1/2025,3/31/2026,0.7986,0.3077,0.4696,27115.31,0,2819.11,23551.06,12,7,12,4,0,39,32,12,0,0,0.5833,0.5304,0.6887,0.203967463,0.3113,0.544850498,6,0.929546651
120051,4/1/2025,3/31/2026,0.8388,0.2857,0.363,10567.47,0,1280.8,10567.47,6,4,6,2,0,21,16,6,0,0,0.6667,0.637,0.6617,0.221202142,0.3383,0.066445183,1,0.843742935
120052,4/1/2025,3/31/2026,0.7534,0.3226,0.2425,18640.58,31701.61,2087.66,14731.92,10,5,10,3,0,31,27,10,0,1,0.5,0.7575,0.6766,0.211995442,0.3234,0.279069767,3,0.89542216
120053,4/1/2025,3/31/2026,0.9131,0.3529,0.2032,44863.42,93546.26,3610.38,31386.71,12,10,12,1,0,34,29,12,0,1,0.8333,0.7968,0.7135,0.180474917,0.2865,0.887043189,9,0.975397037
120054,4/1/2025,3/31/2026,0.7652,0.2857,0.3474,9082.1,0,1414.04,8761.31,4,2,4,1,0,14,9,4,0,0,0.5,0.6526,0.6138,0.255695269,0.3862,0.029900332,1,0.829950794
120055,4/1/2025,3/31/2026,0.8403,0.4286,0.2993,7647.87,1474.32,780.77,7032.23,3,2,3,1,0,7,4,3,0,0.2758,0.6667,0.7007,0.691,0.202089863,0.309,0.008305648,1,0.814301168
120056,4/1/2025,3/31/2026,0.8582,0.3448,0.4112,47745.07,11468.43,5263.05,47745.07,10,7,10,3,0,29,17,10,0,0.2402,0.7,0.5888,0.6799,0.210232323,0.3201,0.906976744,10,0.981065775
120057,4/1/2025,3/31/2026,0.7229,0.2917,0.4654,26071.14,0,3885.69,26071.14,7,3,7,3,1,24,14,7,0.3333,0,0.4286,0.5346,0.6251,0.249041814,0.3749,0.514950166,6,0.925970838
120058,4/1/2025,3/31/2026,0.7749,0.325,0.4865,29374.06,0,4126.21,28989.65,13,7,13,4,1,40,31,13,0.25,0,0.5385,0.5135,0.6357,0.240471218,0.3643,0.621262458,7,0.936832545
120059,4/1/2025,3/31/2026,0.7645,0.2963,0.4146,18009.43,0,1773.69,17425.01,8,4,8,3,0,27,20,8,0,0,0.5,0.5854,0.6968,0.198486737,0.3032,0.255813953,3,0.892285677
120060,4/1/2025,3/31/2026,0.8938,0.3256,0.3549,41697.35,15110.22,5025.22,41697.35,14,11,14,3,0,43,37,14,0,0.3624,0.7857,0.6451,0.6629,0.220516532,0.3371,0.830564784,9,0.968732832
120061,4/1/2025,3/31/2026,0.8493,0.3421,0.3007,29910.54,15723.39,3917.98,29159.5,13,9,13,2,0,38,31,13,0,0.5257,0.6923,0.6993,0.6479,0.230989945,0.3521,0.634551495,7,0.938480609
120062,4/1/2025,3/31/2026,0.7895,0.3684,0.3787,12560,0,1431.01,12560,7,4,7,3,0,19,17,7,0,0,0.5714,0.6213,0.6711,0.213933917,0.3289,0.109634551,2,0.859471249
120063,4/1/2025,3/31/2026,0.8109,0.3226,0.4433,21880.94,0,2836.32,21430.75,10,6,10,3,0,31,23,10,0,0,0.6,0.5567,0.65,0.229625144,0.35,0.378737542,4,0.910016333
120064,4/1/2025,3/31/2026,0.7447,0.3333,0.5316,42804.52,0,4595.99,41047.27,12,6,12,4,0,36,23,12,0,0,0.5,0.4684,0.6834,0.207371605,0.3166,0.850498339,9,0.971119147
120065,4/1/2025,3/31/2026,0.6944,0.325,0.4154,31849.22,5121.1,3669.66,27935.56,13,5,13,4,1,40,29,13,0.25,0.1608,0.3846,0.5846,0.669,0.215219776,0.331,0.674418605,7,0.94419927
120066,4/1/2025,3/31/2026,0.8853,0.3421,0.3159,37578.92,17993.46,4445,37344.28,13,10,13,2,0,38,30,13,0,0.4788,0.7692,0.6841,0.6654,0.2182844,0.3346,0.77076412,8,0.959263184
120067,4/1/2025,3/31/2026,0.8417,0.2857,0.2578,16418.87,18790.37,2202.17,16418.87,6,4,6,2,0,21,15,6,0,1,0.6667,0.7422,0.6436,0.234124334,0.3564,0.209302326,3,0.883866229
120068,4/1/2025,3/31/2026,0.748,0.3333,0.4129,17717.29,0,2037.37,17717.29,6,3,6,3,0,18,15,6,0,0,0.5,0.5871,0.6695,0.21499332,0.3305,0.252491694,3,0.890796493
120069,4/1/2025,3/31/2026,0.8395,0.3636,0.4979,33247.33,0,3340.6,26211.11,12,8,12,3,0,33,25,12,0,0,0.6667,0.5021,0.6935,0.200477241,0.3065,0.694352159,7,0.948111298
120070,4/1/2025,3/31/2026,0.8037,0.3125,0.1971,14973.29,82188.62,1598.81,13454.71,10,6,10,2,0,32,26,10,0,1,0.6,0.8029,0.6849,0.206777468,0.3151,0.169435216,2,0.875474225
120071,4/1/2025,3/31/2026,0.7472,0.2791,0.5093,42974.92,2253.66,4840.83,42974.92,12,6,12,6,0,43,34,12,0,0.0524,0.5,0.4907,0.6754,0.212643142,0.3246,0.857142857,9,0.971480925
120072,4/1/2025,3/31/2026,0.7431,0.3448,0.3938,28540.39,5453.94,2748.73,28540.39,10,5,10,5,0,29,20,10,0,0.1911,0.5,0.6062,0.7008,0.196310177,0.2992,0.604651163,7,0.934210818
120073,4/1/2025,3/31/2026,0.8643,0.3684,0.4256,19486.79,0,2058.08,17821.97,7,5,7,0,0,19,17,7,,0,0.7143,0.5744,0.6874,0.205614111,0.3126,0.299003322,3,0.899464706
120074,4/1/2025,3/31/2026,0.7057,0.3333,0.3829,40915.4,11984.33,4211.28,37915.4,10,4,10,4,1,30,24,10,0.25,0.2929,0.4,0.6171,0.6905,0.202926526,0.3095,0.817275748,9,0.967008982
120075,4/1/2025,3/31/2026,0.7616,0.303,0.4308,20666.11,0,3056.73,19367.74,10,5,10,2,0,33,25,10,0,0,0.5,0.5692,0.6307,0.247910274,0.3693,0.332225914,4,0.904815069
120076,4/1/2025,3/31/2026,0.7397,0.4,0.3648,10672.77,0,836.18,7032.23,6,3,6,2,0,15,13,6,0,0,0.5,0.6352,0.718,0.178347046,0.282,0.069767442,1,0.844645746
120077,4/1/2025,3/31/2026,0.9248,0.3,0.4564,24879.42,0,2895.58,24479.69,9,8,9,0,0,30,22,9,,0,0.8889,0.5436,0.6674,0.216384546,0.3326,0.468438538,5,0.921710416
120078,4/1/2025,3/31/2026,0.7908,0.3333,0.2828,21840.62,14645.38,2492.31,21294.59,7,4,7,2,0,21,19,7,0,0.6706,0.5714,0.7172,0.6705,0.214113519,0.3295,0.375415282,4,0.909848386
120079,4/1/2025,3/31/2026,0.6218,0.2857,0.3098,7647.87,1279.78,780.77,7032.23,4,1,4,2,0,14,9,4,0,0.2142,0.25,0.6902,0.6916,0.202089863,0.3084,0.008305648,1,0.814301168
120080,4/1/2025,3/31/2026,0.7953,0.3636,0.2601,25159.17,25408.32,2566.86,20438.26,12,7,12,3,0,33,26,12,0,1,0.5833,0.7399,0.6921,0.202024828,0.3079,0.478405316,5,0.922728579
120081,4/1/2025,3/31/2026,0.7715,0.3333,0.4675,26369.11,0,2889.03,26194.92,10,5,10,3,1,30,23,10,0.3333,0,0.5,0.5325,0.6814,0.209561149,0.3186,0.528239203,6,0.927005649
120082,4/1/2025,3/31/2026,0.9464,0.3846,0.3346,16441,4321.14,1869.27,16441,5,5,5,0,0,13,8,5,,0.2628,1,0.6654,0.6726,0.213695639,0.3274,0.212624585,3,0.883988875
120083,4/1/2025,3/31/2026,0.7902,0.3415,0.4378,23504.11,808.64,2898.09,22733.22,14,8,14,5,0,41,29,14,0,0.0344,0.5714,0.5622,0.6589,0.223301414,0.3411,0.431893688,5,0.916532354
120084,4/1/2025,3/31/2026,0.8208,0.3636,0.4282,20206.09,0,1256.64,10712.09,8,5,8,1,0,22,15,8,0,0,0.625,0.5718,0.7267,0.162191151,0.2733,0.315614618,4,0.902765271
120085,4/1/2025,3/31/2026,0.8757,0.32,0.3376,10518.12,1187.34,1351.12,10518.12,8,6,8,2,0,25,19,8,0,0.1129,0.75,0.6624,0.6516,0.228456416,0.3484,0.063122924,1,0.843316723
120086,4/1/2025,3/31/2026,0.7298,0.375,0.3946,23089.18,3174.1,1914.82,15579.53,9,4,9,2,0,24,19,9,0,0.1375,0.4444,0.6054,0.7121,0.182931486,0.2879,0.411960133,5,0.914910508
120087,4/1/2025,3/31/2026,0.8102,0.3125,0.3846,23401.85,4325.11,1031.38,8453.5,5,3,5,1,0,16,11,5,0,0.1848,0.6,0.6154,0.7414,0.144072584,0.2586,0.418604651,5,0.916135322
120088,4/1/2025,3/31/2026,0.7966,0.2927,0.3913,24548.29,4043.35,2598.3,19761.22,12,7,12,2,0,41,30,12,0,0.1647,0.5833,0.6087,0.6864,0.20584444,0.3136,0.46179402,5,0.920490353
120089,4/1/2025,3/31/2026,0.7335,0.2903,0.3921,19251.62,1861.06,1605.85,12604.69,9,4,9,2,0,31,23,9,0,0.0967,0.4444,0.6079,0.7117,0.183413759,0.2883,0.292358804,3,0.898359131
120090,4/1/2025,3/31/2026,0.8501,0.3571,0.423,40469.51,7741.51,3896.43,37469.51,10,7,10,2,0,28,20,10,0,0.1913,0.7,0.577,0.7014,0.196280632,0.2986,0.80730897,9,0.966011184
120091,4/1/2025,3/31/2026,0.8194,0.3478,0.4545,23982.47,0,2328.72,15104.26,8,5,8,1,0,23,19,8,0,0,0.625,0.5455,0.6989,0.197100924,0.3011,0.445182724,5,0.918366971
120092,4/1/2025,3/31/2026,0.8462,0.3019,0.5604,66496.7,8737.01,7569.33,65948.89,16,11,16,4,0,53,40,16,0,0.1314,0.6875,0.4396,0.6718,0.21383016,0.3282,0.976744186,10,1
120093,4/1/2025,3/31/2026,0.6862,0.3235,0.3871,26105.47,5223.86,3231.21,25690.62,11,4,11,5,1,34,25,11,0.2,0.2001,0.3636,0.6129,0.6586,0.223775209,0.3414,0.521594684,6,0.926090663
120094,4/1/2025,3/31/2026,0.7317,0.3103,0.3604,12272.57,860.07,1566.38,11379.03,9,4,9,3,0,29,23,9,0,0.0701,0.4444,0.6396,0.6524,0.227632599,0.3476,0.106312292,2,0.857363301
120095,4/1/2025,3/31/2026,0.7856,0.3,0.4387,41278.73,6980.28,4614.17,40238.94,18,10,18,5,0,60,48,18,0,0.1691,0.5556,0.5613,0.6769,0.211780813,0.3231,0.823920266,9,0.967814023
120096,4/1/2025,3/31/2026,0.758,0.3077,0.2844,11666.84,7744.43,1392.4,10900.81,8,4,8,2,0,26,19,8,0,0.6638,0.5,0.7156,0.6646,0.219346798,0.3354,0.099667774,1,0.852754507
120097,4/1/2025,3/31/2026,0.8652,0.3415,0.5864,67333.37,0,8516.95,65948.89,14,10,14,3,0,41,26,14,0,0,0.7143,0.4136,0.6539,0.226489288,0.3461,0.980066445,10,1
120098,4/1/2025,3/31/2026,0.8717,0.3235,0.4927,38710.66,2207.35,4899.75,38710.66,11,8,11,3,0,34,25,11,0,0.057,0.7273,0.5073,0.6535,0.226573662,0.3465,0.790697674,8,0.961965071
120099,4/1/2025,3/31/2026,0.7279,0.3214,0.2365,21373.56,59689.31,2765.78,20507.53,9,4,9,3,0,28,21,9,0,1,0.4444,0.7635,0.6504,0.229401934,0.3496,0.362126246,4,0.907880009
120100,4/1/2025,3/31/2026,0.8135,0.3023,0.4614,27821.71,739.94,2940.94,24391.33,13,8,13,4,0,43,38,13,0,0.0266,0.6154,0.5386,0.6866,0.205706659,0.3134,0.561461794,6,0.9318885
120101,4/1/2025,3/31/2026,0.8063,0.2857,0.4334,22711.52,625.32,2617.23,22170.28,10,6,10,2,0,35,28,10,0,0.0275,0.6,0.5666,0.6684,0.215237994,0.3316,0.401993355,5,0.913408802
120102,4/1/2025,3/31/2026,0.6444,0.3636,0.4188,18483.08,0,2032.32,18483.08,4,1,4,3,0,11,10,4,0,0,0.25,0.5812,0.6806,0.2099557,0.3194,0.26910299,3,0.894649525
120103,4/1/2025,3/31/2026,0.7769,0.2973,0.4213,25975.42,2526.36,2891.18,24408.93,11,6,11,2,1,37,30,11,0.5,0.0973,0.5455,0.5787,0.6771,0.211304456,0.3229,0.504983389,6,0.925635904
120104,4/1/2025,3/31/2026,0.8083,0.2941,0.3709,18532.4,3115.03,2175.26,18532.4,10,6,10,4,0,34,25,10,0,0.1681,0.6,0.6291,0.6668,0.217376055,0.3332,0.272425249,3,0.894892176
120105,4/1/2025,3/31/2026,0.7875,0.3214,0.2777,30745.1,21686.93,4563.74,30745.1,9,5,9,3,1,28,22,9,0.3333,0.7054,0.5556,0.7223,0.6286,0.248437962,0.3714,0.65448505,7,0.940986514
120106,4/1/2025,3/31/2026,0.9206,0.3182,0.5223,37714.49,0,4226.62,37252.17,7,6,7,0,0,22,16,7,,0,0.8571,0.4777,0.6764,0.212068863,0.3236,0.774086379,8,0.959591099
120107,4/1/2025,3/31/2026,0.8708,0.3056,0.2876,18079.1,11341.18,2194.03,18079.1,11,8,11,3,0,36,25,11,0,0.6273,0.7273,0.7124,0.6614,0.221357258,0.3386,0.259136213,3,0.892637253
120108,4/1/2025,3/31/2026,0.7736,0.3,0.1819,32805.1,45151.48,1970.13,16886.64,15,8,15,3,0,50,33,15,0,1,0.5333,0.8181,0.7284,0.160055601,0.2716,0.687707641,7,0.946891977
120109,4/1/2025,3/31/2026,0.95,0.3077,0.2333,37354.31,85115.91,5182.48,37354.31,8,8,8,0,0,26,23,8,,1,1,0.7667,0.6384,0.238738475,0.3616,0.764119601,8,0.958717289
120110,4/1/2025,3/31/2026,0.6398,0.2857,0.172,17588.65,38628.43,944.77,9723.49,8,2,8,4,0,28,22,8,0,1,0.25,0.828,0.7303,0.153714754,0.2697,0.245847176,3,0.890132948
120111,4/1/2025,3/31/2026,0.8809,0.3333,0.6181,60456.41,0,5101.56,45284.47,12,9,12,1,0,36,26,12,0,0,0.75,0.3819,0.7108,0.184384104,0.2892,0.96345515,10,1
120112,4/1/2025,3/31/2026,0.7587,0.3,0.5124,43338.56,2108.37,1876.83,14423.96,6,3,6,1,0,20,17,6,0,0.0486,0.5,0.4876,0.7436,0.143306238,0.2564,0.863787375,9,0.972248199
120113,4/1/2025,3/31/2026,0.8089,0.3846,0.3577,9842.11,0,1134.12,9842.11,5,3,5,2,0,13,10,5,0,0,0.6,0.6423,0.6687,0.215231388,0.3313,0.049833887,1,0.837268154
120114,4/1/2025,3/31/2026,0.7882,0.3333,0.3863,17489.71,1618.7,1544.91,16394.85,9,5,9,3,0,27,22,9,0,0.0926,0.5556,0.6137,0.7088,0.188332511,0.2912,0.242524917,3,0.889619289
120115,4/1/2025,3/31/2026,0.6786,0.3889,0.494,31180.71,0,2770.71,20307.85,14,5,14,4,0,36,32,14,0,0,0.3571,0.506,0.708,0.188859747,0.292,0.664451827,7,0.942267618
120116,4/1/2025,3/31/2026,0.8303,0.3793,0.4584,24909.04,0,2836.58,24909.04,11,7,11,4,0,29,21,11,0,0,0.6364,0.5416,0.6716,0.213877532,0.3284,0.471760797,5,0.92181876
120117,4/1/2025,3/31/2026,0.8025,0.3333,0.475,27570.2,0,781.08,10379.02,5,3,5,0,0,15,12,5,,0,0.6,0.525,0.7535,0.128330589,0.2465,0.558139535,6,0.931061584
120118,4/1/2025,3/31/2026,0.9114,0.3158,0.306,9149.44,3297.55,1358.17,9149.44,6,5,6,1,0,19,14,6,0,0.3604,0.8333,0.694,0.6275,0.248442965,0.3725,0.03654485,1,0.830623413
120119,4/1/2025,3/31/2026,0.7464,0.3478,0.4205,21603.34,938.14,2070.35,21603.34,8,4,8,4,0,23,20,8,0,0.0434,0.5,0.5795,0.702,0.195834718,0.298,0.365448505,4,0.908853711
120120,4/1/2025,3/31/2026,0.796,0.3529,0.4352,29672.91,3016.74,3636.98,29672.91,12,7,12,5,0,34,28,12,0,0.1017,0.5833,0.5648,0.6599,0.222569037,0.3401,0.627906977,7,0.937754288
